Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.78125	15.1875	8.71875	13.03125	18.46875	3.84375	11.0625	15.1875	9	13.5	19.03125
-35	3.84375	10.78125	15.28125	8.8125	13.3125	19.125	3.84375	6.375	10.96875	5.90625	9.09375	13.875
-30	3.75	10.59375	15.375	8.53125	13.6875	20.34375	3.75	10.59375	15.375	8.8125	14.8125	16.96875
-25	3.65625	6.5625	10.5	6.09375	8.25	14.0625	3.75	9.84375	12.28125	8.25	11.25	15.84375
-20	3.5625	8.625	9.9375	7.96875	9.375	19.03125	3.65625	9.5625	12.65625	7.96875	11.15625	16.59375
-15	3.5625	9.65625	11.90625	7.6875	11.0625	16.03125	3.65625	9.5625	12.75	7.96875	11.34375	16.875
-10	3.65625	9.1875	12	7.40625	10.96875	16.21875	3.75	9.46875	12.9375	7.78125	11.34375	17.71875
-5	4.03125	8.71875	12	7.21875	11.53125	16.21875	4.03125	9.46875	13.21875	7.5	11.625	18.46875
0	4.125	9.65625	12.375	7.3125	12	16.3125	4.40625	9.5625	13.125	7.5	11.8125	18.84375
5	4.125	9.65625	17.0625	7.78125	16.5	19.21875	4.3125	9.65625	13.40625	7.78125	11.90625	19.3125
10	4.03125	9.75	17.25	7.6875	16.59375	18.75	4.21875	9.75	13.03125	7.6875	12.09375	13.78125
15	4.125	9.9375	13.03125	8.4375	12.28125	14.34375	4.125	9.75	13.875	7.5	12.65625	20.25
20	4.21875	9.9375	13.125	8.625	12.28125	14.53125	4.21875	9.75	14.625	8.0625	12.5625	17.25
25	4.3125	10.03125	13.21875	8.625	12.375	14.15625	4.59375	9.75	14.625	8.25	12.84375	20.8125
30	4.21875	10.03125	13.3125	8.8125	12.5625	19.03125	4.5	9.75	14.8125	8.0625	12.84375	15.46875
35	4.21875	10.125	13.78125	8.71875	12.75	14.25	4.40625	9.84375	14.15625	8.25	13.125	14.90625
40	4.125	10.125	14.625	8.71875	12.9375	16.3125	4.3125	9.84375	16.21875	8.4375	14.4375	20.15625
45	4.125	10.21875	14.15625	8.90625	13.125	16.03125	4.3125	9.84375	16.21875	8.34375	15	17.34375
50	4.875	7.96875	10.03125	7.40625	9	13.3125	5.15625	9.5625	15.65625	7.5	15.28125	17.53125
55	4.78125	7.78125	10.03125	7.3125	8.90625	13.59375	5.0625	8.34375	9.75	7.40625	8.90625	16.78125
60	4.6875	7.6875	10.03125	7.125	8.8125	13.875	4.96875	7.875	9.75	7.3125	8.90625	14.25
65	4.59375	7.5	10.03125	7.03125	8.8125	13.875	4.875	7.6875	9.65625	7.125	8.8125	14.0625
70	4.5	10.03125	15.46875	8.90625	14.0625	19.5	4.78125	7.5	9.65625	7.125	8.8125	14.25
75	4.5	9.9375	15.1875	8.90625	13.96875	19.59375	4.78125	9.65625	14.8125	9	14.34375	17.8125
80	4.21875	6.9375	9.9375	6.5625	9.1875	14.15625	4.40625	18.5625	18.5625	17.90625	20.8125	20.8125
85	4.21875	7.03125	9.84375	6.46875	9.1875	14.25	4.3125	11.8125	11.8125	11.4375	20.71875	20.71875
90	4.21875	7.03125	9.75	6.5625	9.28125	14.4375	4.3125	12.09375	21.375	11.25	20.25	21.9375
