Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.59375	15.09375	8.25	12.9375	17.90625	3.9375	10.59375	15.46875	8.53125	13.78125	19.03125
-35	3.84375	10.59375	15.1875	8.625	13.21875	18.375	3.84375	6.1875	10.78125	5.625	8.53125	13.875
-30	3.84375	10.5	15.09375	8.625	13.3125	18.5625	3.65625	6.46875	11.25	5.4375	8.53125	14.25
-25	3.75	10.40625	15.09375	8.0625	13.3125	18.84375	3.5625	6.5625	11.8125	5.15625	9.46875	15.375
-20	3.75	10.3125	15.09375	7.78125	13.5	19.03125	3.375	6.46875	10.3125	4.96875	9.1875	10.59375
-15	3.75	10.125	14.8125	7.78125	14.15625	17.90625	3.28125	6.375	9.1875	4.875	8.15625	10.6875
-10	3.9375	10.03125	21.28125	7.875	19.40625	23.625	3.09375	6.5625	8.4375	5.625	7.5	11.15625
-5	4.03125	9.84375	17.8125	7.875	16.78125	18.1875	3	7.6875	9.75	5.71875	8.90625	11.4375
0	4.21875	9.84375	12.1875	7.875	11.53125	16.59375	3.9375	6.9375	9.375	5.625	7.875	11.71875
5	4.3125	9.84375	12.5625	7.96875	11.625	17.4375	3.84375	8.71875	9.5625	5.8125	9.46875	12.09375
10	4.3125	9.84375	12.84375	8.25	11.625	18.5625	3.75	8.0625	9.75	6.375	8.625	12.1875
15	4.3125	9.9375	12.9375	8.25	11.90625	19.21875	3.75	7.5	9.65625	6.28125	8.15625	12.65625
20	4.3125	10.03125	13.96875	8.71875	12.28125	19.03125	3.5625	6.84375	9.75	6.1875	7.875	12.75
25	4.40625	9.9375	14.4375	8.625	12.46875	19.03125	4.03125	9.84375	14.8125	8.53125	13.40625	16.21875
30	4.3125	9.84375	13.59375	8.53125	12.5625	16.40625	4.21875	9.75	13.59375	8.4375	13.125	14.0625
35	4.21875	10.125	13.96875	8.90625	12.84375	16.40625	4.125	9.65625	14.71875	8.4375	14.15625	16.125
40	4.125	10.03125	13.96875	8.90625	12.9375	14.15625	4.21875	9.84375	14.4375	8.34375	14.15625	15.1875
45	4.125	10.21875	14.25	8.8125	13.125	16.125	4.40625	9.9375	16.3125	8.4375	14.53125	20.15625
50	4.03125	10.03125	14.4375	9.28125	13.40625	16.125	5.0625	8.34375	9.5625	7.40625	8.71875	14.71875
55	4.21875	4.78125	10.03125	4.40625	9.09375	13.78125	4.96875	8.0625	9.46875	7.21875	8.71875	14.53125
60	4.6875	7.78125	9.9375	7.21875	9	13.875	4.96875	7.6875	9.5625	7.21875	8.71875	14.34375
65	4.59375	7.59375	10.03125	7.21875	8.8125	13.875	4.875	7.5	9.65625	7.03125	8.71875	14.15625
70	4.59375	9.9375	15.28125	8.90625	13.96875	19.5	4.875	7.3125	9.75	7.125	8.90625	14.25
75	4.59375	9.9375	15.1875	8.90625	14.0625	19.5	4.78125	9.75	14.8125	8.90625	14.25	17.8125
80	4.21875	7.03125	9.9375	6.5625	9.1875	14.15625	4.40625	14.625	18.46875	14.34375	18.1875	20.625
85	4.21875	7.03125	9.84375	6.46875	9.1875	14.25	4.40625	6.84375	12	6.75	11.4375	14.4375
90	4.21875	7.03125	9.65625	6.5625	9.28125	14.4375	4.3125	12.09375	21.46875	11.34375	20.25	22.125
