Azim	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-180	4.125	9.75	12	7.5	11.8125	16.21875	4.3125	9.5625	14.25	7.3125	11.8125	19.03125
-175	4.125	9.65625	12.375	7.3125	12	16.3125	4.40625	9.5625	13.125	7.5	11.8125	18.84375
-170	4.125	9.65625	13.125	7.03125	11.90625	18.46875	4.3125	9.65625	13.21875	7.6875	11.71875	18
-165	4.03125	9.5625	13.21875	6.65625	11.625	18.28125	4.3125	9.65625	13.40625	7.6875	11.71875	18.09375
-160	3.9375	9.46875	13.125	6	11.71875	18.375	4.3125	9.75	13.5	7.78125	11.71875	17.90625
-155	3.84375	9.46875	13.03125	5.625	11.8125	18	4.5	9.75	13.3125	7.875	11.71875	17.625
-150	3.65625	6.75	9.46875	3.375	5.25	8.0625	4.6875	9.84375	13.40625	7.875	11.625	17.71875
-145	6.5625	9.28125	12.84375	5.0625	8.25	11.8125	3.75	9.84375	13.21875	7.875	11.625	17.71875
-140	6.375	9.28125	12.75	4.78125	8.4375	11.71875	4.03125	9.65625	13.21875	8.0625	11.625	17.53125
-135	6.28125	9.375	12.75	4.59375	8.625	11.8125	4.21875	9.65625	13.3125	3.09375	7.6875	11.625
-130	6.1875	9.46875	12.75	3.65625	8.8125	11.625	4.59375	9.75	13.03125	3.5625	7.96875	11.53125
-125	6.09375	9.5625	12.75	3.5625	9	11.4375	3	5.0625	9.65625	4.125	8.25	12.09375
-120	6.09375	9.65625	12.9375	3.46875	9	11.25	3.28125	5.53125	9.9375	4.78125	7.5	11.625
-115	6	9.75	13.03125	3.375	9.09375	11.34375	3.75	5.90625	9.46875	5.71875	7.96875	11.34375
-110	5.90625	9.84375	13.125	3.28125	9.1875	11.4375	4.125	10.03125	13.40625	7.6875	11.90625	16.21875
-105	5.8125	9.9375	12.9375	3.28125	9.1875	11.53125	4.78125	9.5625	12.84375	7.96875	11.25	16.03125
-100	5.71875	9.9375	12.65625	3.09375	9.1875	11.71875	5.4375	10.125	14.15625	3.65625	8.53125	12.5625
-95	5.625	9.84375	12.375	9.1875	11.8125	16.3125	6.1875	9.375	11.34375	4.96875	8.34375	10.5
-90	5.53125	9.84375	21.28125	9.28125	16.125	22.78125	3	6.46875	10.78125	5.71875	9.1875	11.4375
-85	5.53125	9.65625	21.1875	9.375	15.75	22.875	3.1875	6.1875	11.4375	5.71875	10.3125	17.90625
-80	5.4375	21.1875	21.1875	14.90625	14.90625	14.90625	5.8125	9.75	13.125	5.15625	8.4375	11.71875
-75	5.34375	14.15625	21.09375	13.03125	14.625	14.625	4.96875	11.0625	13.59375	3.09375	9.46875	12.375
-70	5.15625	13.96875	18.09375	11.90625	14.625	19.125	4.21875	9.84375	12.5625	8.90625	11.4375	16.125
-65	4.875	13.875	17.90625	11.71875	14.625	19.21875	3.84375	9.375	13.03125	8.8125	10.3125	16.5
-60	4.78125	13.6875	16.125	11.71875	14.625	16.3125	3.5625	12.09375	19.40625	8.90625	16.96875	19.96875
-55	4.59375	13.5	17.25	11.71875	14.34375	19.125	3.1875	12.375	19.21875	9.1875	17.25	19.96875
-50	4.40625	13.40625	16.78125	11.8125	14.0625	19.125	11.15625	19.125	20.90625	8.53125	17.0625	19.96875
-45	4.40625	13.125	16.78125	11.71875	13.78125	19.03125	3.9375	10.875	12.75	3.84375	8.90625	12.46875
-40	4.40625	13.03125	16.6875	11.71875	13.96875	19.03125	3.9375	10.6875	12.9375	8.8125	12.09375	16.96875
-35	4.5	9.75	12.9375	9.1875	11.71875	14.0625	3.75	10.6875	13.03125	8.90625	11.90625	16.96875
-30	4.5	10.5	12.9375	9	12	18.84375	3.75	10.6875	12.9375	8.90625	11.625	16.96875
-25	4.40625	10.78125	19.78125	9.09375	18.84375	21	4.21875	10.875	13.03125	8.90625	11.625	16.96875
-20	4.3125	10.875	14.15625	9.09375	12.375	18.5625	4.3125	10.875	12.9375	8.90625	11.53125	17.0625
-15	4.21875	10.875	14.4375	9	12.84375	18.5625	4.3125	10.875	12.9375	9	11.53125	17.0625
-10	4.21875	10.96875	14.4375	8.90625	12.9375	18.46875	4.3125	10.875	13.03125	9	11.53125	17.0625
-5	4.21875	10.96875	14.25	8.90625	12.9375	18.375	4.3125	11.0625	13.125	9	11.25	17.15625
0	4.3125	10.875	14.25	8.90625	12.9375	18.1875	4.21875	13.21875	19.21875	9	17.15625	19.96875
5	4.3125	10.875	14.15625	8.71875	13.03125	18.1875	4.21875	13.21875	19.21875	9.09375	17.34375	19.96875
10	4.3125	10.78125	13.96875	8.71875	13.3125	18.09375	4.21875	13.21875	19.3125	9.09375	17.4375	20.0625
15	4.3125	10.78125	21.375	8.71875	18.09375	22.03125	4.3125	13.3125	19.40625	9.09375	17.71875	20.0625
20	4.21875	10.78125	21.28125	8.71875	18.09375	22.03125	4.40625	13.3125	19.59375	9.28125	18	20.34375
25	4.21875	10.78125	21.5625	8.625	18.09375	22.6875	4.5	13.3125	19.875	9.5625	18.375	20.4375
30	3.9375	10.78125	13.59375	8.625	13.125	18.09375	4.5	13.3125	16.21875	10.03125	15.84375	18.75
35	3.84375	10.78125	21.1875	8.34375	18	22.6875	4.5	13.21875	16.40625	10.6875	15.5625	19.03125
40	3.9375	10.6875	21.28125	8.4375	18	22.875	4.5	13.40625	16.5	10.875	15.375	19.125
45	4.03125	10.78125	13.40625	3.375	8.25	13.125	4.5	16.6875	20.71875	11.15625	19.3125	21.9375
50	3	10.78125	14.0625	8.34375	13.875	18.09375	4.59375	14.15625	16.78125	11.34375	14.625	19.6875
55	3.28125	11.0625	13.6875	9.1875	13.3125	18	4.78125	14.15625	17.0625	11.53125	14.71875	19.96875
60	3.5625	10.6875	14.53125	8.53125	14.0625	18.09375	5.0625	13.125	17.4375	11.625	14.53125	20.0625
65	3.84375	11.90625	14.15625	9.46875	13.40625	18.09375	5.15625	13.125	17.8125	11.8125	14.625	20.0625
70	4.125	10.125	16.59375	8.90625	15.9375	18.1875	5.34375	13.40625	18.9375	11.90625	14.8125	20.0625
75	4.21875	10.6875	14.34375	3	9.1875	12.28125	5.53125	13.40625	19.21875	11.90625	15.375	19.96875
80	10.125	14.53125	18.75	8.34375	13.40625	18.375	5.53125	13.3125	19.40625	11.90625	15.9375	19.875
85	3.46875	15.28125	21.46875	13.875	20.15625	20.15625	5.625	13.40625	21	11.8125	16.5	22.875
90	3.375	7.21875	10.78125	6.09375	9.28125	16.21875	5.625	9.65625	13.40625	9.09375	11.8125	17.0625
95	6.1875	9.84375	13.5	5.25	8.53125	11.4375	5.71875	9.65625	13.5	8.90625	11.71875	17.53125
100	5.4375	10.3125	15.09375	3.75	8.53125	13.40625	5.8125	9.65625	13.59375	3.09375	8.90625	11.71875
105	4.6875	9.84375	12.46875	8.15625	11.34375	15	5.8125	9.65625	13.59375	3.28125	8.90625	11.625
110	4.21875	10.03125	12.84375	8.25	12.09375	15.84375	5.90625	9.65625	13.78125	3.28125	8.90625	11.625
115	3.75	6.09375	9.65625	5.71875	8.0625	10.96875	5.90625	9.5625	13.78125	3.375	9	11.53125
120	3.375	5.53125	10.21875	4.875	7.59375	11.71875	6	9.5625	13.875	3.46875	9	11.53125
125	3	5.0625	9.75	4.125	8.34375	11.15625	6.09375	9.5625	13.875	3.5625	8.90625	11.625
130	4.59375	10.125	12.375	3.5625	8.0625	11.625	6.1875	9.46875	13.5	3.75	8.625	11.71875
135	4.21875	9.84375	17.34375	3	7.96875	16.6875	6.28125	9.375	13.3125	3.9375	8.34375	11.8125
140	3.9375	9.9375	12.28125	8.15625	11.625	16.78125	6.28125	9.28125	13.3125	4.59375	8.0625	11.90625
145	3.84375	9.9375	12.09375	7.96875	12	16.96875	6.375	9.1875	13.3125	4.875	7.875	11.90625
150	3.84375	9.9375	12.28125	7.96875	11.71875	16.875	6.46875	9.1875	13.5	5.0625	7.78125	11.8125
155	4.3125	9.9375	12	7.96875	11.625	16.6875	3.75	6.65625	9.375	3.46875	5.34375	7.78125
160	4.21875	9.84375	12.1875	7.875	11.53125	16.59375	3.9375	6.9375	9.375	5.625	7.875	11.71875
165	4.21875	9.75	12.28125	7.6875	11.625	16.5	4.03125	7.125	9.375	6	7.875	11.71875
170	4.125	9.75	12.375	7.6875	11.8125	16.5	4.125	7.21875	9.46875	6.46875	7.5	11.625
175	4.125	9.84375	11.90625	7.6875	11.625	16.3125	4.21875	9.5625	14.34375	7.21875	11.71875	18.9375
180	4.125	9.75	12	7.5	11.8125	16.21875	4.3125	9.5625	14.25	7.3125	11.8125	19.03125
