Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.03125	10.875	14.71875	8.625	13.78125	13.78125	3.9375	10.96875	14.90625	8.90625	13.59375	13.59375
-30	3.9375	10.875	14.34375	8.4375	13.40625	13.40625	3.84375	10.875	14.4375	8.625	13.96875	13.96875
-20	3.84375	10.78125	14.25	8.25	13.3125	13.3125	3.75	10.6875	10.6875	8.4375	8.4375	8.4375
-10	4.03125	10.78125	14.15625	8.53125	13.03125	13.03125	4.03125	10.78125	12.9375	8.625	12.46875	12.46875
0	4.3125	10.875	14.25	8.90625	12.9375	12.9375	4.21875	13.21875	13.21875	9	9	9
10	4.125	10.875	14.53125	9	12.75	12.75	4.125	13.3125	13.3125	9.28125	9.28125	9.28125
20	4.03125	10.96875	14.8125	9.375	13.03125	13.03125	4.125	14.15625	14.15625	9.65625	9.65625	9.65625
30	4.21875	10.96875	14.90625	9.9375	13.21875	16.5	4.3125	14.25	14.25	10.21875	10.21875	10.21875
40	4.21875	13.03125	13.03125	12.28125	16.40625	16.40625	4.3125	13.40625	13.40625	10.6875	16.21875	16.21875
50	4.40625	4.40625	4.40625	16.125	16.125	16.125	4.96875	12.75	12.75	10.96875	15.9375	15.9375
60	4.59375	4.59375	4.59375	16.03125	16.03125	16.03125	4.875	12.5625	16.5	11.15625	15.75	15.75
70	4.5	9.65625	9.65625	9.46875	16.03125	16.03125	4.6875	12.375	12.375	11.4375	11.4375	11.4375
80	4.125	9.65625	9.65625	9.46875	16.5	16.5	4.21875	12.1875	12.1875	11.25	11.25	11.25
90	4.21875	7.03125	9.75	6.5625	9.28125	14.4375	4.3125	12.09375	12.09375	11.34375	11.34375	11.34375
100	4.21875	6.9375	9.9375	6.5625	9.1875	14.15625	4.40625	4.40625	4.40625	0	0	0
110	4.5	10.03125	15.46875	8.90625	13.96875	13.96875	4.78125	7.40625	9.75	7.125	8.8125	14.34375
120	4.6875	7.6875	10.03125	7.125	8.90625	13.875	4.96875	7.875	9.75	7.3125	8.8125	14.25
130	4.03125	4.875	8.0625	4.40625	7.5	9.09375	5.15625	9.65625	16.03125	7.5	15.09375	15.09375
140	4.125	10.125	14.625	8.71875	12.9375	16.3125	4.3125	9.84375	16.21875	8.4375	14.15625	14.15625
150	4.3125	10.03125	13.3125	8.8125	12.46875	12.46875	4.40625	9.75	14.71875	8.15625	12.84375	15.09375
160	4.21875	9.84375	13.21875	8.625	12.28125	12.28125	4.21875	9.75	14.625	8.15625	12.46875	12.46875
170	4.125	9.75	9.75	7.875	16.5	16.5	4.21875	9.65625	12.5625	7.59375	12.28125	12.9375
180	4.125	9.75	12	7.5	11.8125	16.21875	4.3125	9.5625	14.25	7.3125	11.8125	11.8125
190	3.75	9.375	11.8125	7.5	11.34375	16.21875	3.65625	9.375	13.125	7.6875	11.34375	11.34375
200	3.65625	10.03125	10.03125	7.6875	7.6875	7.6875	3.65625	6.46875	9.1875	5.8125	8.0625	11.0625
210	3.75	10.59375	15	8.625	13.59375	13.59375	3.75	6.1875	10.5	6	8.71875	14.90625
220	3.84375	10.6875	15.1875	8.625	13.125	13.125	3.84375	6.09375	10.96875	5.8125	9	13.5
