Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -3.265544E-06   -2.401066E-10
2.083333E-05    -8.915304E-05   -2.473826E-10
4.166667E-05    2.387754E-05    -3.128662E-10
6.250000E-05    1.050317E-05    -6.957634E-11
8.333333E-05    -1.741025E-05   1.063841E-10
1.041667E-04    -4.472910E-05   -1.327327E-10
1.250000E-04    -1.898152E-06   -1.206775E-10
1.458333E-04    -2.657506E-05   1.332410E-10
1.666667E-04    -1.755910E-05   -1.255103E-10
1.875000E-04    -4.087298E-05   -1.891749E-10
2.083333E-04    3.673299E-05    -6.002665E-11
2.291667E-04    -7.463404E-07   2.592060E-11
2.500000E-04    2.419814E-05    2.546585E-11
2.708333E-04    -2.282926E-05   1.164153E-10
2.916667E-04    -5.277296E-06   1.203654E-10
3.125000E-04    -2.815803E-06   3.137489E-10
3.333333E-04    -2.232214E-05   6.489378E-10
3.541667E-04    -1.713268E-05   1.720372E-10
3.750000E-04    -5.271215E-05   1.717786E-10
3.958333E-04    -2.079323E-06   -3.721528E-10
4.166667E-04    -3.098229E-05   -2.166292E-10
4.375000E-04    -1.951032E-05   -1.244226E-10
4.583333E-04    -1.784858E-05   -3.631737E-10
4.791667E-04    -2.648335E-05   -4.074536E-10
5.000000E-04    -1.129265E-06   -3.995535E-10
5.208333E-04    -2.107244E-05   -3.088090E-10
5.416666E-04    8.617550E-06    1.612123E-10
5.625000E-04    -2.984990E-05   -2.621039E-10
5.833333E-04    -4.180260E-06   3.974224E-10
6.041666E-04    -1.832997E-05   6.140428E-11
6.250000E-04    -2.597133E-05   3.068386E-10
6.458333E-04    -4.271882E-06   -1.453363E-10
6.666667E-04    -2.806576E-05   -1.709850E-10
6.875000E-04    -7.721748E-06   1.455192E-10
7.083333E-04    -2.723093E-05   -2.037268E-10
7.291667E-04    -2.587504E-05   3.014975E-10
7.500000E-04    -5.989858E-05   -1.409984E-10
7.708333E-04    -6.485770E-05   7.331062E-10
7.916667E-04    -4.154018E-05   3.486218E-10
8.125000E-04    -4.257451E-05   5.534275E-10
8.333334E-04    1.738183E-06    6.748451E-10
8.541666E-04    -1.038010E-05   -8.128609E-11
8.750000E-04    2.299486E-05    -3.819878E-11
8.958333E-04    1.784289E-05    -6.061782E-10
9.166666E-04    4.365807E-06    2.401066E-10
9.375000E-04    -1.752927E-05   -4.474714E-10
9.583333E-04    -1.499492E-05   4.089828E-11
9.791667E-04    -3.815463E-05   -8.824776E-11
9.999999E-04    -7.557117E-05   4.014704E-11
1.020833E-03    -4.441071E-05   5.818536E-10
1.041667E-03    -2.512855E-05   3.637979E-10
1.062500E-03    -5.874506E-06   -3.468545E-12
1.083333E-03    -4.293702E-05   1.172625E-10
1.104167E-03    -1.637635E-05   9.157365E-11
1.125000E-03    2.561099E-06    4.370929E-11
1.145833E-03    5.547532E-06    -3.310561E-10
