Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    5.465170E-05    1.928129E-10
2.083333E-05    -6.588030E-05   1.091394E-10
4.166667E-05    3.101043E-05    4.547474E-10
6.250000E-05    -6.472485E-05   -2.219167E-10
8.333333E-05    6.101567E-06    -5.657057E-10
1.041667E-04    1.984646E-05    -1.913060E-10
1.250000E-04    3.163282E-05    4.196603E-11
1.458333E-04    1.552073E-05    -1.091394E-11
1.666667E-04    2.101141E-05    -1.564331E-10
1.875000E-04    5.196220E-05    4.183676E-11
2.083333E-04    6.065272E-05    1.373337E-10
2.291667E-04    2.545524E-05    -9.458745E-11
2.500000E-04    1.718827E-05    8.910371E-11
2.708333E-04    -4.143367E-06   1.675677E-10
2.916667E-04    6.955561E-06    1.132187E-10
3.125000E-04    -1.674251E-05   -8.668732E-11
3.333333E-04    7.628736E-06    3.049661E-10
3.541667E-04    -2.007530E-05   1.282120E-10
3.750000E-04    4.294154E-06    7.639755E-11
3.958333E-04    1.294809E-05    1.969680E-11
4.166667E-04    1.818571E-05    -2.337134E-10
4.375000E-04    3.992626E-05    -1.580028E-11
4.583333E-04    -1.275694E-06   -1.023092E-10
4.791667E-04    1.471784E-05    -4.832787E-12
5.000000E-04    1.971603E-05    -1.739988E-10
5.208333E-04    2.253302E-05    1.973336E-10
5.416666E-04    1.420525E-05    3.855722E-10
5.625000E-04    -1.391101E-05   1.121042E-10
5.833333E-04    4.498677E-06    1.003565E-10
6.041666E-04    6.974133E-05    1.501502E-10
6.250000E-04    1.620468E-05    1.629021E-10
6.458333E-04    -1.749140E-07   5.563522E-11
6.666667E-04    -1.416724E-05   -7.639755E-11
6.875000E-04    -2.785474E-05   1.637090E-10
7.083333E-04    7.485818E-06    -2.037268E-10
7.291667E-04    -2.362882E-05   3.892637E-10
7.500000E-04    -2.096493E-05   4.311005E-10
7.708333E-04    -1.013303E-05   -1.850198E-11
7.916667E-04    2.648312E-05    1.747523E-10
8.125000E-04    6.673118E-05    1.314220E-10
8.333334E-04    7.362201E-05    7.962626E-10
8.541666E-04    4.179134E-05    -1.038643E-09
8.750000E-04    -3.115900E-06   -4.565663E-10
8.958333E-04    1.239480E-05    -1.800800E-10
9.166666E-04    3.951884E-05    -3.383588E-10
9.375000E-04    -4.374855E-05   -3.890430E-10
9.583333E-04    -6.006004E-05   -1.323449E-10
9.791667E-04    -4.054665E-05   5.354071E-10
9.999999E-04    3.046855E-05    1.176637E-10
1.020833E-03    1.933064E-05    -1.600978E-10
1.041667E-03    -3.812100E-06   1.774585E-10
1.062500E-03    1.209228E-05    4.683051E-10
1.083333E-03    5.488632E-05    2.251289E-10
1.104167E-03    5.925551E-05    -1.124117E-10
1.125000E-03    4.417889E-06    5.666558E-12
1.145833E-03    -5.362806E-06   -1.155058E-10
1.166667E-03    5.900401E-07    7.759238E-11
1.187500E-03    2.203657E-05    -6.891659E-11
1.208333E-03    1.030483E-06    -4.020502E-10
1.229167E-03    -3.227420E-05   -3.141773E-11
1.250000E-03    1.508462E-05    2.264910E-10
1.270833E-03    -1.901917E-06   -4.471782E-10
1.291667E-03    4.004361E-05    -3.529061E-10
1.312500E-03    -3.807945E-06   -2.798658E-10
1.333333E-03    2.920565E-05    2.697275E-11
1.354167E-03    1.770167E-05    -1.033259E-10
1.375000E-03    2.880548E-05    1.526880E-10
1.395833E-03    2.654571E-05    5.488801E-10
1.416667E-03    -1.319771E-06   -5.041902E-11
1.437500E-03    1.062567E-05    6.367534E-10
1.458333E-03    -6.357841E-06   2.741189E-10
1.479167E-03    1.026625E-05    -4.053485E-11
1.500000E-03    5.580548E-05    -3.204007E-10
1.520833E-03    -9.003230E-06   -2.506641E-10
1.541667E-03    -2.620276E-05   -3.085864E-10
1.562500E-03    -2.567755E-05   -2.543556E-10
1.583333E-03    4.898561E-05    -1.546944E-10
1.604167E-03    -1.892666E-05   2.432340E-10
1.625000E-03    -9.907475E-06   3.087868E-10
1.645833E-03    -2.359718E-05   3.384391E-10
1.666667E-03    6.112720E-05    -1.485863E-10
1.687500E-03    1.010129E-04    7.526650E-10
1.708333E-03    3.386929E-05    -2.269769E-10
1.729167E-03    -6.420392E-06   1.711636E-10
1.750000E-03    5.878126E-06    -2.604811E-10
1.770833E-03    1.522421E-05    1.871062E-10
1.791667E-03    -1.133756E-05   1.436130E-10
1.812500E-03    -6.209932E-05   3.419073E-10
1.833333E-03    -2.379639E-05   -1.292553E-10
1.854167E-03    -2.311453E-05   5.970535E-11
1.875000E-03    4.976979E-05    5.780030E-10
1.895833E-03    -1.166907E-05   -1.928442E-10
1.916667E-03    6.445913E-05    -3.573197E-10
1.937500E-03    3.275532E-06    -4.653211E-10
1.958333E-03    8.123137E-05    -6.743188E-11
1.979167E-03    -1.531942E-05   -5.064681E-10
2.000000E-03    4.179300E-05    -1.939541E-10
2.020833E-03    -2.486011E-05   -2.680692E-10
2.041667E-03    1.340939E-05    1.602583E-09
2.062500E-03    -4.054062E-06   1.323689E-09
2.083333E-03    1.460757E-05    5.823260E-10
2.104167E-03    3.320244E-05    -4.843498E-11
2.125000E-03    3.672067E-05    -2.780312E-10
2.145833E-03    -5.951330E-05   -3.038783E-10
2.166667E-03    4.174664E-05    3.004453E-10
2.187500E-03    -4.772280E-05   -2.873468E-10
2.208333E-03    6.560899E-05    -6.382335E-10
2.229167E-03    -1.072589E-04   5.833249E-10
2.250000E-03    6.318819E-05    4.874624E-10
2.270833E-03    -5.269428E-05   3.210405E-10
2.291667E-03    8.559770E-05    -2.746766E-11
2.312500E-03    -6.025124E-05   4.534990E-10
2.333333E-03    4.708792E-05    3.366890E-11
2.354167E-03    -3.999463E-05   9.785979E-11
2.375000E-03    6.911370E-05    -3.690231E-10
2.395833E-03    -6.420916E-05   -6.023976E-10
2.416667E-03    3.970430E-05    -1.857955E-10
2.437500E-03    -1.451663E-05   -8.642877E-11
2.458333E-03    7.526078E-05    -3.110104E-11
2.479167E-03    -1.628206E-04   2.177081E-10
2.500000E-03    6.953791E-05    -1.173024E-10
2.520833E-03    -1.298558E-04   2.384169E-10
2.541667E-03    1.362829E-04    2.870726E-10
2.562500E-03    -1.970241E-04   -1.003408E-10
2.583333E-03    9.756966E-05    -9.262141E-11
2.604167E-03    -1.394627E-04   -1.791783E-10
2.625000E-03    1.578394E-04    -4.701300E-11
2.645833E-03    -1.222955E-04   -3.677969E-10
2.666667E-03    1.200387E-04    -1.637090E-11
2.687500E-03    -1.250941E-04   -4.001777E-11
2.708333E-03    1.700116E-04    -3.237801E-10
2.729167E-03    -1.655502E-04   6.621121E-10
2.750000E-03    1.715302E-04    -2.419256E-10
2.770833E-03    -2.100681E-04   -2.804365E-10
2.791667E-03    2.103589E-04    -4.473421E-10
2.812500E-03    -2.456272E-04   -1.746230E-10
2.833333E-03    2.394927E-04    -1.509761E-10
2.854167E-03    -2.677570E-04   7.548806E-11
2.875000E-03    2.774505E-04    -2.100933E-10
2.895833E-03    -3.042529E-04   -2.344223E-10
2.916667E-03    3.042903E-04    9.819867E-11
2.937500E-03    -2.970942E-04   7.569203E-10
2.958333E-03    3.426071E-04    -3.196610E-12
2.979167E-03    -3.321850E-04   -1.230671E-10
3.000000E-03    3.470074E-04    -5.008463E-10
3.020833E-03    -3.709986E-04   -1.082566E-10
3.041667E-03    4.151849E-04    -9.458745E-10
3.062500E-03    -4.395561E-04   2.943642E-10
3.083333E-03    4.652754E-04    -4.137933E-10
3.104167E-03    -5.218891E-04   -3.996070E-10
3.125000E-03    5.646919E-04    -6.320089E-11
3.145833E-03    -6.084233E-04   1.224965E-10
3.166667E-03    6.528379E-04    4.662855E-10
3.187500E-03    -7.505780E-04   5.902353E-10
3.208333E-03    7.783634E-04    -1.091929E-10
3.229167E-03    -8.397228E-04   6.602829E-12
3.250000E-03    1.111793E-03    4.041277E-10
3.270833E-03    -1.023491E-03   4.184511E-10
3.291667E-03    1.407288E-03    -2.509180E-10
3.312500E-03    -1.512397E-03   -7.404133E-12
3.333333E-03    3.126258E-03    6.061782E-10
3.354167E-03    7.192403E-04    -5.456968E-11
3.375000E-03    5.297992E-02    1.260560E-09
3.395833E-03    1.150709E-01    -1.309672E-09
3.416667E-03    6.128553E-02    -1.945409E-09
3.437500E-03    4.969893E-03    -1.228130E-09
3.458333E-03    -3.031702E-03   4.275918E-10
3.479167E-03    1.313466E-02    -7.353265E-10
3.500000E-03    -2.422760E-02   -3.187779E-10
3.520833E-03    -8.482286E-02   3.983587E-10
3.541667E-03    -7.389599E-02   2.124580E-09
3.562500E-03    -2.891554E-02   1.278750E-09
3.583333E-03    -1.195731E-03   -2.255815E-10
3.604167E-03    -5.441818E-03   -2.277214E-10
3.625000E-03    -1.144787E-02   4.570077E-10
3.645833E-03    2.420993E-02    5.519385E-11
3.666667E-03    3.449427E-02    -4.844218E-10
3.687500E-03    1.343033E-02    -2.601422E-10
3.708333E-03    4.788897E-04    3.739638E-11
3.729167E-03    -7.183745E-03   1.240613E-10
3.750000E-03    -3.781160E-03   1.780626E-10
3.770833E-03    -1.134443E-02   5.351485E-10
3.791667E-03    -1.868782E-02   1.002473E-09
3.812500E-03    -1.036295E-02   6.366463E-10
3.833333E-03    -1.202881E-02   2.231115E-10
3.854167E-03    -7.792642E-03   6.732311E-10
3.875000E-03    -2.608429E-03   1.763884E-10
3.895833E-03    3.593895E-04    4.051397E-10
3.916667E-03    6.446281E-03    2.883366E-10
3.937500E-03    -9.158363E-04   -2.517270E-11
3.958333E-03    2.457633E-03    -2.219389E-10
3.979167E-03    5.718727E-03    6.041631E-10
4.000000E-03    3.110019E-04    1.746230E-10
4.020833E-03    -1.248037E-03   6.716706E-10
4.041667E-03    -6.855753E-03   -1.589298E-10
4.062500E-03    -5.046397E-03   -2.585107E-10
4.083333E-03    -4.652775E-03   7.685941E-10
4.104167E-03    -8.670950E-03   -4.931771E-11
4.125000E-03    -5.425611E-03   2.730848E-10
4.145833E-03    -5.947257E-03   3.637979E-12
4.166666E-03    -2.801168E-03   1.283726E-10
4.187500E-03    7.269215E-04    -8.200429E-10
4.208333E-03    -1.453510E-04   -6.459730E-10
4.229167E-03    5.301454E-03    -4.691922E-10
4.250000E-03    5.413536E-03    -8.395615E-10
4.270833E-03    6.233086E-03    -4.252622E-10
4.291667E-03    7.479215E-03    -2.589964E-10
4.312500E-03    6.338347E-05    1.213017E-10
4.333333E-03    -1.812321E-03   1.586489E-10
4.354167E-03    -4.478247E-03   4.567580E-10
4.375000E-03    -6.818805E-03   7.565925E-10
4.395833E-03    -6.044012E-03   6.365544E-11
4.416666E-03    -9.141441E-03   1.485773E-10
4.437500E-03    -4.306151E-03   -3.739805E-10
4.458333E-03    -1.466109E-03   -2.781272E-10
4.479167E-03    4.989642E-04    -9.932233E-11
4.500000E-03    3.130269E-03    -5.775893E-10
4.520833E-03    1.944935E-03    -7.361109E-10
4.541667E-03    3.487983E-03    -5.086405E-10
4.562500E-03    3.457940E-03    -3.051489E-10
4.583333E-03    1.160484E-03    -2.373781E-10
4.604167E-03    -5.800878E-04   -2.529720E-10
4.625000E-03    -5.333799E-03   -2.182474E-10
4.645833E-03    -5.747155E-03   3.838737E-10
4.666667E-03    -4.917654E-03   -2.205613E-10
4.687500E-03    -6.174024E-03   5.706639E-11
4.708333E-03    -5.269813E-03   -3.408288E-10
4.729167E-03    -5.034274E-03   -3.876940E-11
4.750000E-03    -2.022140E-03   -5.641361E-10
4.770833E-03    1.290347E-03    -7.891645E-11
4.791667E-03    -1.038776E-03   3.515063E-10
4.812500E-03    7.418472E-04    -7.737628E-11
4.833333E-03    9.170069E-04    1.815333E-10
4.854166E-03    1.449313E-03    3.987243E-10
4.875000E-03    1.906484E-03    1.286881E-09
4.895833E-03    -6.627135E-04   5.844663E-10
4.916667E-03    6.306503E-04    -1.921619E-10
4.937500E-03    7.147243E-04    -4.026063E-11
4.958333E-03    1.477327E-03    -1.661744E-10
4.979167E-03    2.846805E-03    -3.168606E-10
5.000000E-03    1.778953E-03    -2.169233E-10
5.020833E-03    2.899815E-03    -4.883183E-10
5.041667E-03    1.800382E-03    -6.394995E-11
5.062500E-03    1.153237E-03    1.961296E-10
5.083333E-03    8.886994E-04    -1.616851E-10
5.104166E-03    -1.297686E-03   1.257228E-11
5.125000E-03    -2.027546E-03   -3.638438E-11
5.145833E-03    -2.310494E-03   4.468992E-11
5.166667E-03    -1.777344E-03   -1.847077E-10
5.187500E-03    -7.514612E-04   5.164080E-11
5.208333E-03    -1.261601E-03   -1.603116E-10
5.229167E-03    3.620217E-05    -5.556139E-11
5.250000E-03    2.144452E-03    9.744980E-11
5.270833E-03    1.985689E-03    -1.066994E-10
5.291667E-03    2.655253E-03    -1.419569E-10
5.312500E-03    2.087631E-03    6.533217E-11
5.333333E-03    1.935339E-03    1.200533E-10
5.354166E-03    1.871914E-03    2.954963E-10
5.375000E-03    -6.235162E-04   -1.285333E-10
5.395833E-03    -1.473186E-03   -3.233701E-10
5.416667E-03    -2.514214E-03   4.536764E-11
5.437500E-03    -2.585617E-03   6.210418E-11
5.458333E-03    -2.220714E-03   3.260848E-10
5.479167E-03    -2.563578E-03   -1.038966E-10
5.500000E-03    -3.171086E-05   1.514175E-10
5.520833E-03    1.678714E-03    -1.940612E-10
5.541666E-03    3.566670E-03    2.046539E-10
5.562500E-03    4.313464E-03    8.101368E-10
5.583333E-03    4.062911E-03    2.901020E-10
5.604167E-03    4.442446E-03    3.249895E-11
5.625000E-03    3.393847E-03    1.495985E-10
5.645833E-03    1.455636E-03    1.407934E-10
5.666667E-03    -5.606447E-04   1.357465E-10
5.687500E-03    -2.518259E-03   -8.529630E-11
5.708333E-03    -2.719148E-03   3.762990E-10
5.729167E-03    -2.999447E-03   6.995077E-11
5.750000E-03    -3.582474E-03   -2.597477E-10
5.770833E-03    -3.285426E-03   -3.764325E-10
5.791666E-03    -2.618993E-03   -2.652334E-10
5.812500E-03    -1.083071E-03   2.484168E-11
5.833333E-03    -4.954298E-06   1.720008E-11
5.854167E-03    -8.071311E-05   -1.261880E-10
5.875000E-03    2.691229E-04    -2.697275E-10
5.895833E-03    -2.237032E-04   -9.206395E-11
5.916667E-03    -1.027500E-04   1.794022E-10
5.937500E-03    -1.047845E-03   -1.749854E-10
5.958333E-03    -2.168891E-03   2.319166E-10
5.979167E-03    -1.664494E-03   1.603518E-10
6.000000E-03    -1.707343E-03   1.355323E-10
6.020833E-03    -1.161966E-03   1.575208E-10
6.041666E-03    -8.656464E-04   1.266867E-10
6.062500E-03    -2.404171E-04   9.234008E-11
6.083333E-03    6.518739E-04    -6.367644E-10
6.104167E-03    8.723432E-04    -2.456615E-10
6.125000E-03    1.192313E-03    -3.393440E-10
6.145833E-03    8.013997E-04    -1.381449E-10
6.166667E-03    4.049583E-04    -8.574481E-10
6.187500E-03    4.030304E-04    1.171464E-09
6.208333E-03    2.419146E-04    4.977254E-10
6.229166E-03    -3.025040E-04   1.094958E-10
6.250000E-03    -4.713100E-04   5.127944E-10
6.270833E-03    -5.973568E-04   1.039031E-10
6.291667E-03    -2.251037E-04   -1.791483E-10
6.312500E-03    4.685840E-04    -1.286400E-10
6.333333E-03    2.785013E-04    -1.152829E-10
6.354167E-03    7.055198E-04    5.992876E-11
6.375000E-03    6.877612E-04    1.374048E-10
6.395833E-03    1.318570E-03    -6.381315E-10
6.416667E-03    8.853693E-04    -4.697885E-10
6.437500E-03    -1.761073E-04   7.541873E-11
6.458333E-03    2.031429E-04    -2.916157E-10
6.479166E-03    -3.336164E-04   1.391970E-10
6.500000E-03    -4.697882E-04   -3.931603E-10
6.520833E-03    -8.346279E-04   2.214440E-10
6.541667E-03    -7.886027E-04   3.708596E-10
6.562500E-03    -3.068970E-04   -3.794819E-10
6.583333E-03    -2.813184E-04   -1.382875E-10
6.604167E-03    7.192866E-04    -7.031951E-12
6.625000E-03    9.230387E-04    -9.568196E-11
6.645833E-03    1.305292E-03    8.000876E-11
6.666667E-03    1.434615E-03    1.293357E-10
6.687500E-03    1.092646E-03    -9.647758E-11
6.708333E-03    7.781270E-04    -3.944530E-10
6.729166E-03    3.035090E-04    -3.041589E-10
6.750000E-03    -3.042563E-04   5.069292E-10
6.770833E-03    -7.137029E-04   2.565846E-10
6.791667E-03    -7.557813E-04   4.602319E-11
6.812500E-03    -1.255235E-03   1.665098E-10
6.833333E-03    -1.527776E-03   -7.123509E-11
6.854167E-03    -1.662643E-03   8.845605E-12
6.875000E-03    -9.648078E-04   -5.057318E-10
6.895833E-03    -8.284915E-04   -2.143151E-10
6.916666E-03    -1.183186E-03   7.084268E-11
6.937500E-03    -9.339163E-04   -1.185953E-10
6.958333E-03    -1.022648E-03   1.112035E-10
6.979167E-03    -1.676435E-04   -1.488718E-10
7.000000E-03    1.028587E-04    -1.517118E-10
7.020833E-03    -1.129923E-04   -2.374169E-10
7.041667E-03    3.809716E-04    -2.370836E-10
7.062500E-03    6.587238E-04    4.475157E-10
7.083333E-03    9.841329E-04    -2.350505E-10
7.104167E-03    3.112991E-04    -2.989782E-10
7.125000E-03    7.244891E-05    -3.211877E-10
7.145833E-03    4.178905E-04    -1.726342E-10
7.166666E-03    3.488201E-04    5.010734E-10
7.187500E-03    6.551742E-05    -2.203288E-11
7.208333E-03    -1.255786E-04   -3.308227E-10
7.229167E-03    2.613263E-04    1.272535E-10
7.250000E-03    7.124097E-04    -7.300033E-11
7.270833E-03    1.131289E-03    2.185830E-10
7.291667E-03    1.483088E-03    -2.151309E-10
7.312500E-03    2.288592E-03    -6.263465E-11
7.333333E-03    3.041585E-03    -2.037072E-10
7.354166E-03    3.112557E-03    -2.921708E-10
7.375000E-03    2.757252E-03    1.225948E-10
7.395833E-03    2.338807E-03    -4.101102E-10
7.416666E-03    2.055359E-03    3.259955E-11
7.437500E-03    1.190732E-03    9.512212E-11
7.458333E-03    6.069521E-04    -1.304311E-11
7.479167E-03    -2.865472E-04   2.238114E-10
7.500000E-03    -1.171686E-03   2.926217E-10
7.520833E-03    -1.472557E-03   -4.983319E-10
