Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    3.637458E-05    -3.710738E-10
2.083333E-05    -3.950369E-04   -3.492460E-10
4.166667E-05    1.582369E-04    -5.456968E-11
6.250000E-05    -7.463574E-05   -9.458745E-11
8.333333E-05    1.465035E-04    1.182343E-10
1.041667E-04    -1.137256E-05   2.291927E-10
1.250000E-04    1.401672E-05    -3.167627E-11
1.458333E-04    1.835401E-05    1.244179E-10
1.666667E-04    4.401739E-05    -9.458745E-11
1.875000E-04    -1.058485E-05   1.273293E-11
2.083333E-04    1.090339E-07    8.585630E-10
2.291667E-04    -3.915919E-05   4.365575E-11
2.500000E-04    4.384899E-05    -4.498610E-10
2.708333E-04    -4.074888E-05   -4.841098E-10
2.916667E-04    3.100963E-05    -2.223581E-10
3.125000E-04    -2.552665E-05   -2.722242E-10
3.333333E-04    3.810268E-05    -1.892552E-10
3.541667E-04    -5.692200E-06   3.149345E-11
3.750000E-04    9.224488E-06    -5.392500E-10
3.958333E-04    2.268774E-05    7.827009E-11
4.166667E-04    4.924230E-06    1.200533E-10
4.375000E-04    8.437852E-06    2.056483E-10
4.583333E-04    -2.148126E-05   4.051268E-11
4.791667E-04    1.493340E-05    -2.660712E-11
5.000000E-04    -1.027012E-05   -1.024119E-10
5.208333E-04    6.665323E-07    3.601064E-10
5.416666E-04    1.544394E-05    1.809627E-10
5.625000E-04    -5.297399E-06   8.830131E-11
5.833333E-04    4.757880E-05    3.575561E-10
6.041666E-04    -4.794639E-05   6.501013E-10
6.250000E-04    -4.941421E-05   1.617072E-10
6.458333E-04    -1.012754E-04   8.093968E-10
6.666667E-04    -1.056054E-05   1.215085E-09
6.875000E-04    -2.217944E-05   4.183676E-10
7.083333E-04    7.998271E-06    -5.638867E-10
7.291667E-04    1.752780E-05    2.000888E-10
7.500000E-04    -2.208541E-05   -3.510650E-10
7.708333E-04    6.834826E-05    2.146407E-10
7.916667E-04    1.729370E-06    1.338518E-10
8.125000E-04    5.418251E-05    -1.475210E-10
8.333334E-04    -3.372366E-05   -4.129106E-10
8.541666E-04    -8.412042E-05   -6.366463E-11
8.750000E-04    -2.649095E-05   -3.819878E-10
8.958333E-04    -6.289541E-06   4.583853E-10
9.166666E-04    4.656858E-05    2.125725E-11
9.375000E-04    -7.768445E-05   2.434860E-10
9.583333E-04    -1.650901E-05   2.633121E-10
9.791667E-04    4.257642E-05    2.953005E-10
9.999999E-04    1.367449E-05    -4.137665E-10
1.020833E-03    1.898308E-05    -3.793840E-10
1.041667E-03    -5.881271E-05   -1.058758E-10
1.062500E-03    6.311445E-05    2.036733E-10
1.083333E-03    -5.712733E-06   -2.073648E-10
1.104167E-03    -4.093159E-06   3.526789E-10
1.125000E-03    -6.982504E-06   -1.109362E-10
1.145833E-03    -2.028836E-05   9.281531E-11
1.166667E-03    4.088796E-05    -4.369231E-10
1.187500E-03    -3.418570E-05   2.509135E-10
1.208333E-03    1.971795E-05    -3.436196E-10
1.229167E-03    -5.191447E-06   2.248502E-10
1.250000E-03    5.808353E-06    -1.815869E-10
1.270833E-03    3.794045E-05    -9.029852E-11
1.291667E-03    2.241424E-06    -2.382969E-11
1.312500E-03    7.052602E-05    2.087094E-10
1.333333E-03    -3.307199E-05   -4.333295E-10
1.354167E-03    4.251251E-05    3.341770E-10
1.375000E-03    -9.005825E-06   7.379926E-10
1.395833E-03    2.337638E-05    -3.374936E-10
1.416667E-03    4.266294E-06    4.319220E-11
1.437500E-03    -2.492648E-06   4.451889E-10
1.458333E-03    3.919805E-05    -4.410292E-10
1.479167E-03    -9.646181E-06   6.820093E-10
1.500000E-03    -1.869023E-06   2.387512E-10
1.520833E-03    -8.296571E-05   -3.955423E-11
1.541667E-03    -3.629680E-05   -1.649574E-10
1.562500E-03    8.497465E-05    3.160054E-11
1.583333E-03    -6.340950E-06   2.300624E-10
1.604167E-03    2.843777E-05    5.824423E-10
1.625000E-03    -4.144196E-05   -5.225578E-11
1.645833E-03    1.099849E-04    -9.183219E-11
1.666667E-03    3.440366E-05    1.220417E-10
1.687500E-03    -3.368406E-05   -3.425790E-11
1.708333E-03    -9.633915E-05   -1.458328E-11
1.729167E-03    -6.508258E-05   -2.192685E-10
1.750000E-03    4.843810E-05    1.200353E-10
1.770833E-03    -2.501939E-05   6.445063E-10
1.791667E-03    -1.086021E-05   -9.643780E-11
1.812500E-03    -9.228905E-06   2.786442E-10
1.833333E-03    6.325119E-06    -2.616446E-10
1.854167E-03    7.839274E-05    8.289788E-11
1.875000E-03    -4.071944E-05   -3.529754E-10
1.895833E-03    5.667836E-05    -4.013725E-10
1.916667E-03    -5.606228E-05   -1.084081E-10
1.937500E-03    5.988152E-05    1.949180E-11
1.958333E-03    -3.409254E-05   -5.963884E-11
1.979167E-03    2.141927E-05    1.921887E-10
2.000000E-03    -3.380390E-05   8.575464E-10
2.020833E-03    2.296904E-05    5.712162E-10
2.041667E-03    1.916476E-05    9.816270E-11
2.062500E-03    2.390918E-05    2.315379E-10
2.083333E-03    -2.035663E-05   -9.936317E-10
2.104167E-03    -3.349569E-06   3.921077E-10
2.125000E-03    -7.226523E-05   -1.221710E-10
2.145833E-03    3.158225E-05    1.697946E-10
2.166667E-03    -7.883795E-06   -3.614304E-10
2.187500E-03    8.652960E-05    4.304228E-10
2.208333E-03    -9.046325E-05   -1.392774E-10
2.229167E-03    8.943837E-05    8.388662E-10
2.250000E-03    -4.388870E-05   2.056326E-10
2.270833E-03    9.412415E-05    4.170748E-11
2.291667E-03    -1.072826E-04   -6.173729E-10
2.312500E-03    6.050932E-05    1.226211E-10
2.333333E-03    -3.968880E-05   -2.619658E-10
2.354167E-03    5.887534E-05    1.189832E-10
2.375000E-03    -7.098797E-05   -1.794401E-10
2.395833E-03    3.139556E-05    -2.138873E-10
2.416667E-03    -5.648495E-05   3.352471E-10
2.437500E-03    5.763581E-05    8.742248E-10
2.458333E-03    -2.074892E-04   -4.348678E-10
2.479167E-03    5.408060E-05    -1.872645E-10
2.500000E-03    -7.433638E-05   6.677633E-11
2.520833E-03    1.826088E-04    -2.172889E-10
2.541667E-03    -1.970688E-04   -6.131518E-11
2.562500E-03    1.044220E-04    -2.048547E-10
2.583333E-03    -1.305203E-04   1.829265E-10
2.604167E-03    2.017923E-04    -8.414625E-11
2.625000E-03    -1.687128E-04   2.007811E-11
2.645833E-03    1.112647E-04    -2.397410E-10
2.666667E-03    -1.522300E-04   -1.273293E-10
2.687500E-03    1.586938E-04    -5.529728E-10
2.708333E-03    -1.539078E-04   -1.145963E-09
2.729167E-03    1.772290E-04    4.001777E-10
2.750000E-03    -2.060434E-04   -1.437002E-10
2.770833E-03    2.292743E-04    6.584742E-10
2.791667E-03    -2.604334E-04   -3.252157E-10
2.812500E-03    3.209452E-04    1.819435E-10
2.833333E-03    -3.116310E-04   1.527951E-10
2.854167E-03    3.097260E-04    3.983587E-10
2.875000E-03    -3.261825E-04   -1.818989E-10
2.895833E-03    3.544124E-04    1.182343E-11
2.916667E-03    -2.819157E-04   -3.558618E-11
2.937500E-03    3.182368E-04    6.522508E-11
2.958333E-03    -3.470464E-04   -5.188533E-10
2.979167E-03    3.621603E-04    -1.130787E-09
3.000000E-03    -3.822518E-04   -5.248588E-10
3.020833E-03    4.178635E-04    -3.577703E-10
3.041667E-03    -5.393110E-04   -9.157808E-10
3.062500E-03    4.941790E-04    -1.982163E-10
3.083333E-03    -5.258232E-04   1.855369E-10
3.104167E-03    7.214035E-04    1.328874E-09
3.125000E-03    -6.899032E-04   -6.589820E-11
3.145833E-03    7.641834E-04    3.026300E-10
3.166667E-03    -8.102949E-04   7.015815E-10
3.187500E-03    1.146544E-03    5.774756E-10
3.208333E-03    -7.059183E-04   -8.594992E-10
3.229167E-03    1.251563E-03    -2.163794E-10
3.250000E-03    -1.081705E-03   7.129980E-10
3.270833E-03    1.456462E-03    1.667049E-10
3.291667E-03    1.681639E-03    4.263702E-10
3.312500E-03    3.437532E-02    -7.403822E-10
3.333333E-03    6.326596E-02    4.356480E-10
3.354167E-03    8.664846E-02    -1.537956E-09
3.375000E-03    8.839320E-02    -1.038643E-09
3.395833E-03    1.618739E-02    -1.072294E-09
3.416667E-03    -9.677258E-02   2.846718E-09
3.437500E-03    -8.906321E-02   3.838068E-09
3.458333E-03    1.995537E-03    9.019602E-11
3.479167E-03    -3.110157E-04   -5.577031E-10
3.500000E-03    -4.371107E-02   -2.019078E-10
3.520833E-03    -4.444463E-02   2.787601E-10
3.541667E-03    2.834994E-02    3.201421E-10
3.562500E-03    3.583651E-02    -1.424269E-09
3.583333E-03    -7.028870E-03   -4.207572E-10
3.604167E-03    -8.683765E-03   1.975034E-11
3.625000E-03    4.211156E-03    9.527090E-10
3.645833E-03    1.479220E-02    1.279534E-10
3.666667E-03    -9.259677E-03   -1.700220E-10
3.687500E-03    -1.503321E-02   -1.119925E-10
3.708333E-03    7.089688E-04    4.534634E-10
3.729167E-03    -1.505445E-02   4.956211E-10
