Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -7.386465E-06   -8.367351E-11
2.083333E-05    -3.409725E-04   -4.183676E-10
4.166667E-05    1.711586E-04    1.673470E-10
6.250000E-05    -1.116654E-04   -7.094059E-11
8.333333E-05    8.266331E-05    1.658401E-10
1.041667E-04    -5.924878E-05   4.729372E-11
1.250000E-04    6.300857E-05    2.364686E-10
1.458333E-04    -4.007000E-05   1.102049E-10
1.666667E-04    4.283111E-05    -4.729372E-11
1.875000E-04    -8.164603E-06   -5.456968E-11
2.083333E-04    1.471685E-05    -7.094059E-11
2.291667E-04    -2.649862E-05   -2.291927E-10
2.500000E-04    -1.383432E-05   -1.061256E-10
2.708333E-04    5.264974E-06    -1.188585E-10
2.916667E-04    -6.813854E-06   -9.486456E-11
3.125000E-04    -2.847826E-05   -3.110472E-10
3.333333E-04    2.485514E-05    -2.282564E-10
3.541667E-04    -1.531400E-05   5.695930E-11
3.750000E-04    4.674853E-05    3.583409E-10
3.958333E-04    -3.279689E-05   1.385553E-10
4.166667E-04    2.345778E-05    1.562503E-10
4.375000E-04    -1.288851E-05   1.940345E-10
4.583333E-04    -7.870403E-07   2.869434E-10
4.791667E-04    2.276867E-06    4.576443E-12
5.000000E-04    -3.454606E-05   -6.014143E-11
5.208333E-04    6.742232E-06    -1.587518E-11
5.416666E-04    -2.540835E-05   -2.376902E-10
5.625000E-04    5.384558E-06    -3.128662E-10
5.833333E-04    3.850961E-06    -2.125097E-10
6.041666E-04    -1.443848E-05   -4.795890E-10
6.250000E-04    2.033159E-05    -1.679712E-10
6.458333E-04    -1.328001E-05   -3.899770E-10
6.666667E-04    2.455344E-05    1.127773E-10
6.875000E-04    -9.601390E-06   1.382432E-10
7.083333E-04    -1.109165E-06   8.003553E-11
7.291667E-04    -5.851325E-07   1.291482E-10
7.500000E-04    -8.972012E-06   1.649306E-10
7.708333E-04    1.908286E-05    2.255547E-10
7.916667E-04    3.897771E-06    6.994583E-11
8.125000E-04    1.647742E-06    1.538606E-10
8.333334E-04    5.826663E-06    -2.055458E-10
8.541666E-04    -7.785273E-06   -1.600711E-10
8.750000E-04    2.799723E-06    3.092282E-11
8.958333E-04    -4.027534E-05   -4.038156E-10
9.166666E-04    -2.491404E-05   2.576723E-10
9.375000E-04    -1.293550E-05   -3.498701E-10
9.583333E-04    -1.698389E-05   4.695764E-10
9.791667E-04    9.702966E-06    4.674803E-10
9.999999E-04    -3.085248E-06   2.598034E-10
1.020833E-03    3.039872E-05    -3.935882E-10
1.041667E-03    1.078288E-05    -5.081758E-10
1.062500E-03    9.626747E-06    -6.309400E-11
