Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -2.013097E-06   1.527951E-10
2.083333E-05    -3.628773E-04   -6.184564E-11
4.166667E-05    1.244173E-04    -1.873559E-10
6.250000E-05    -4.357443E-05   -4.692993E-10
8.333333E-05    7.812800E-06    -1.238473E-10
1.041667E-04    2.753495E-05    6.897091E-10
1.250000E-04    -5.837846E-05   5.305207E-10
1.458333E-04    4.558998E-05    -1.194822E-12
1.666667E-04    -3.495829E-05   4.420144E-10
1.875000E-04    -1.840641E-05   1.182343E-10
2.083333E-04    4.703792E-05    -4.984031E-10
2.291667E-04    -8.441246E-05   1.323315E-10
2.500000E-04    9.069958E-05    -9.715989E-11
2.708333E-04    -1.286393E-04   -2.364686E-10
2.916667E-04    1.271834E-04    -9.088705E-10
3.125000E-04    -9.384385E-05   -1.667228E-10
3.333333E-04    6.457439E-05    2.354208E-10
3.541667E-04    -3.049943E-05   -2.491480E-10
3.750000E-04    1.681916E-05    -2.047923E-10
3.958333E-04    2.642747E-05    -8.367351E-11
4.166667E-04    -2.981830E-05   -3.843514E-11
4.375000E-04    3.814617E-05    2.541726E-10
4.583333E-04    -5.302415E-05   -1.454121E-10
4.791667E-04    8.667171E-05    4.528748E-10
5.000000E-04    1.717973E-05    -1.180293E-10
5.208333E-04    -3.599731E-05   -2.884529E-11
5.416666E-04    -1.068570E-05   -6.526784E-10
5.625000E-04    -5.977480E-05   5.134721E-10
5.833333E-04    3.028763E-07    1.174541E-10
6.041666E-04    -4.006227E-05   1.750795E-09
6.250000E-04    5.100603E-05    9.930076E-10
6.458333E-04    -8.695302E-05   -2.353098E-11
6.666667E-04    8.736647E-05    1.637090E-10
6.875000E-04    -9.985892E-05   -3.019522E-10
7.083333E-04    1.099578E-04    -2.273737E-10
7.291667E-04    3.577801E-05    -2.546585E-11
7.500000E-04    -8.618916E-05   -3.694109E-10
7.708333E-04    7.674480E-05    6.215772E-11
7.916667E-04    -1.037046E-04   -7.827896E-10
8.125000E-04    2.014764E-04    -9.707162E-10
8.333334E-04    -1.906782E-04   -2.892193E-10
8.541666E-04    1.216975E-04    3.092282E-11
8.750000E-04    -8.454386E-05   4.329195E-10
8.958333E-04    4.887627E-05    -1.869012E-10
9.166666E-04    1.392272E-05    3.066558E-10
9.375000E-04    -1.044562E-04   -2.401066E-10
9.583333E-04    1.355279E-04    1.517608E-11
9.791667E-04    -1.004307E-04   -2.484168E-11
9.999999E-04    8.350144E-05    -7.063921E-10
1.020833E-03    -5.235908E-05   4.305299E-10
1.041667E-03    4.678659E-06    -2.884659E-10
1.062500E-03    6.981607E-05    1.094782E-10
1.083333E-03    -7.425802E-05   -4.648811E-10
1.104167E-03    7.392721E-05    3.097453E-10
1.125000E-03    -4.120243E-05   -1.353365E-10
1.145833E-03    2.725037E-05    2.291927E-10
1.166667E-03    -1.180177E-06   1.828888E-10
1.187500E-03    -2.559590E-05   1.429337E-11
1.208333E-03    5.361595E-05    -6.701729E-11
1.229167E-03    -1.882648E-05   3.149705E-10
1.250000E-03    -2.218621E-05   1.162593E-10
1.270833E-03    7.188896E-05    -2.996697E-10
1.291667E-03    -1.090131E-04   -1.873024E-10
1.312500E-03    1.607432E-04    4.781712E-10
1.333333E-03    -1.670607E-04   -1.556850E-11
1.354167E-03    1.449993E-04    -4.000706E-10
1.375000E-03    -6.224314E-05   -2.576188E-10
1.395833E-03    1.160763E-04    2.160405E-10
1.416667E-03    -6.769397E-05   2.628126E-10
1.437500E-03    -1.222776E-04   2.634856E-11
1.458333E-03    1.377599E-04    -7.154335E-10
1.479167E-03    -8.902601E-05   6.610152E-10
1.500000E-03    7.916389E-05    1.334815E-10
