Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -2.449408E-04   -4.001777E-11
2.083333E-05    -5.029385E-05   3.201421E-10
4.166667E-05    -2.454314E-04   -2.000888E-11
6.250000E-05    4.050442E-04    -4.565663E-10
8.333333E-05    -3.839834E-04   1.664108E-10
1.041667E-04    3.047937E-04    1.982163E-10
1.250000E-04    -2.409938E-04   7.213541E-11
1.458333E-04    1.092554E-04    7.427718E-10
1.666667E-04    5.171321E-05    2.692104E-10
1.875000E-04    -1.859116E-04   4.365575E-11
2.083333E-04    3.073949E-04    -2.801244E-10
2.291667E-04    -3.649676E-04   7.166818E-10
2.500000E-04    3.699624E-04    -1.618901E-10
2.708333E-04    -3.436046E-04   -1.382432E-10
2.916667E-04    3.247166E-04    -4.602957E-10
3.125000E-04    -2.104263E-04   1.788851E-10
3.333333E-04    1.163282E-04    1.812748E-10
3.541667E-04    1.030872E-06    -4.669096E-10
3.750000E-04    -1.109812E-04   1.807041E-10
3.958333E-04    2.558127E-04    -2.462948E-10
4.166667E-04    -3.032269E-04   4.507973E-10
4.375000E-04    3.274604E-04    -7.753881E-11
4.583333E-04    -3.239662E-04   -3.055902E-10
4.791667E-04    3.747732E-04    3.139004E-10
5.000000E-04    -2.121408E-04   6.475234E-11
5.208333E-04    8.922968E-05    -1.611588E-10
5.416666E-04    3.170807E-05    -2.898971E-10
5.625000E-04    -2.434877E-04   2.601690E-10
5.833333E-04    3.057675E-04    3.381135E-10
6.041666E-04    -3.424978E-04   -1.637090E-09
6.250000E-04    3.999133E-04    8.140624E-10
6.458333E-04    -3.862118E-04   4.650459E-10
6.666667E-04    3.170329E-04    -1.564331E-10
6.875000E-04    -2.433723E-04   -3.492460E-10
7.083333E-04    2.622149E-04    2.564775E-10
7.291667E-04    1.189987E-05    3.292371E-10
7.500000E-04    -2.036021E-04   -3.004010E-11
7.708333E-04    2.533485E-04    5.547383E-10
7.916667E-04    -2.622532E-04   1.739988E-10
8.125000E-04    3.739089E-04    4.990273E-10
8.333334E-04    -3.860736E-04   0.000000E+00
8.541666E-04    2.972922E-04    -1.891749E-10
8.750000E-04    -1.735639E-04   -9.131327E-10
8.958333E-04    6.811239E-05    -1.091394E-11
9.166666E-04    6.452523E-05    4.638423E-10
9.375000E-04    -1.793824E-04   3.565219E-10
9.583333E-04    3.131110E-04    1.991747E-11
9.791667E-04    -3.595850E-04   -2.795002E-10
9.999999E-04    3.656601E-04    1.290947E-10
1.020833E-03    -2.773566E-04   2.024785E-10
1.041667E-03    1.894303E-04    2.364686E-11
1.062500E-03    -2.433337E-05   -2.498257E-10
1.083333E-03    -1.487302E-04   -1.166203E-10
1.104167E-03    3.227105E-04    1.078910E-10
1.125000E-03    -4.390597E-04   -5.280424E-11
1.145833E-03    4.773110E-04    2.074719E-10
1.166667E-03    -4.684709E-04   -4.747027E-10
1.187500E-03    4.140659E-04    4.268383E-10
1.208333E-03    -2.793656E-04   1.782426E-11
1.229167E-03    9.799733E-05    1.570573E-10
1.250000E-03    9.953484E-05    -1.757599E-10
1.270833E-03    -2.714469E-04   -9.094947E-11
1.291667E-03    4.492017E-04    1.521017E-10
1.312500E-03    -5.378618E-04   -4.014884E-10
1.333333E-03    5.566566E-04    2.297098E-10
1.354167E-03    -4.794088E-04   -3.940430E-10
1.375000E-03    4.563614E-04    -2.241457E-10
1.395833E-03    -1.369049E-04   -3.086575E-10
1.416667E-03    -1.707460E-04   3.908150E-11
1.437500E-03    2.847107E-04    -3.450723E-11
1.458333E-03    -4.649073E-04   2.120369E-11
1.479167E-03    7.237787E-04    2.571017E-10
1.500000E-03    -8.705084E-04   2.389616E-12
1.520833E-03    8.197555E-04    -2.066335E-10
1.541667E-03    -7.837579E-04   3.280866E-10
1.562500E-03    7.936900E-04    5.877386E-10
1.583333E-03    -4.877013E-04   2.596519E-10
1.604167E-03    1.464446E-04    -6.316528E-10
1.625000E-03    1.536338E-04    -3.790118E-10
1.645833E-03    -4.618561E-04   -3.291835E-10
1.666667E-03    7.223745E-04    2.733119E-10
1.687500E-03    -9.317191E-04   2.438517E-10
1.708333E-03    1.020071E-03    -3.616936E-10
1.729167E-03    -9.913475E-04   -8.868892E-11
1.750000E-03    8.224732E-04    -4.886341E-12
1.770833E-03    -5.341629E-04   -2.100573E-10
1.791667E-03    8.692112E-05    -4.830128E-10
1.812500E-03    3.869046E-04    -2.098950E-11
1.833333E-03    -8.345182E-04   -6.600070E-11
1.854167E-03    1.276082E-03    -4.783231E-10
1.875000E-03    -1.562552E-03   -2.639294E-11
1.895833E-03    1.607474E-03    3.157729E-10
1.916667E-03    -1.485198E-03   -5.299010E-10
1.937500E-03    1.222431E-03    -7.722857E-10
1.958333E-03    -7.319124E-04   -2.357438E-10
1.979167E-03    1.706986E-04    -8.496015E-10
2.000000E-03    4.676206E-04    -2.359515E-10
2.020833E-03    -1.021533E-03   -2.075790E-10
2.041667E-03    1.319075E-03    -1.291482E-10
2.062500E-03    -1.454596E-03   -1.763685E-11
2.083333E-03    1.327259E-03    -3.951934E-10
2.104167E-03    -1.007784E-03   -2.450279E-11
2.125000E-03    4.670100E-04    1.141268E-12
2.145833E-03    1.894565E-04    -3.207327E-11
2.166667E-03    -8.581659E-04   -5.772974E-10
2.187500E-03    1.356661E-03    8.036720E-10
2.208333E-03    -1.807391E-03   4.243952E-10
2.229167E-03    2.049180E-03    -2.817674E-11
2.250000E-03    -2.006080E-03   1.607488E-10
2.270833E-03    1.700296E-03    5.063919E-10
2.291667E-03    -1.328370E-03   4.019052E-10
2.312500E-03    8.850256E-04    2.795446E-10
2.333333E-03    -2.278389E-04   1.460546E-11
2.354167E-03    -4.225258E-04   -8.502896E-11
2.375000E-03    6.178265E-04    1.453585E-10
2.395833E-03    -7.464268E-04   -1.704679E-10
2.416667E-03    7.999472E-04    -9.853751E-11
2.437500E-03    -7.265534E-04   8.447423E-10
2.458333E-03    2.974019E-04    -1.771197E-10
2.479167E-03    1.678108E-04    2.863302E-10
2.500000E-03    -6.250126E-04   -1.929957E-10
2.520833E-03    1.046578E-03    3.873560E-10
2.541667E-03    -1.520801E-03   -4.142569E-10
2.562500E-03    1.842505E-03    1.506900E-11
2.583333E-03    -2.040505E-03   -2.069504E-10
2.604167E-03    2.087301E-03    -6.729190E-10
2.625000E-03    -2.073654E-03   -9.604773E-10
2.645833E-03    1.864951E-03    -4.204631E-10
2.666667E-03    -1.619845E-03   -5.202310E-10
2.687500E-03    1.300584E-03    -8.076313E-10
2.708333E-03    -1.014476E-03   -3.656169E-10
2.729167E-03    6.654012E-04    -1.073204E-10
2.750000E-03    -5.503816E-04   2.464463E-10
2.770833E-03    4.509633E-04    9.041407E-12
2.791667E-03    -5.387212E-04   5.273375E-10
2.812500E-03    6.591470E-04    9.246708E-10
2.833333E-03    -1.134781E-03   5.020411E-10
2.854167E-03    1.568162E-03    -1.673470E-10
2.875000E-03    -2.087630E-03   -2.364686E-10
2.895833E-03    2.536096E-03    -6.912160E-11
2.916667E-03    -3.072884E-03   2.601155E-10
2.937500E-03    3.384639E-03    -1.517037E-09
2.958333E-03    -3.552337E-03   -8.823013E-10
2.979167E-03    3.609130E-03    9.319467E-10
3.000000E-03    -3.552119E-03   -2.189029E-10
3.020833E-03    3.375201E-03    3.661875E-10
3.041667E-03    -3.196210E-03   2.790902E-11
3.062500E-03    3.149655E-03    -1.517074E-10
3.083333E-03    -3.103195E-03   -2.577794E-11
3.104167E-03    3.300341E-03    2.462413E-10
3.125000E-03    -3.690005E-03   1.206899E-09
3.145833E-03    4.293922E-03    4.557815E-10
3.166667E-03    -4.999032E-03   1.666157E-10
3.187500E-03    5.859769E-03    1.990011E-10
3.208333E-03    -6.674386E-03   1.732819E-09
3.229167E-03    7.730403E-03    -1.345089E-09
3.250000E-03    2.005615E-02    1.291264E-09
3.270833E-03    1.919017E-01    1.222361E-09
3.291667E-03    -8.708856E-03   1.846921E-10
3.312500E-03    -2.524286E-02   7.633602E-10
3.333333E-03    -3.100290E-02   1.713488E-09
3.354167E-03    6.541304E-02    1.891749E-10
3.375000E-03    -1.539705E-02   -2.348315E-09
3.395833E-03    -5.041202E-02   4.529284E-10
3.416667E-03    2.134540E-03    2.100665E-10
3.437500E-03    -2.174711E-02   7.293612E-10
3.458333E-03    2.423514E-02    -1.670456E-09
3.479167E-03    -7.263728E-02   5.317691E-10
3.500000E-03    2.509123E-02    -6.111804E-10
3.520833E-03    -2.302613E-02   4.010872E-10
3.541667E-03    9.557040E-03    -1.149601E-09
3.562500E-03    -1.804475E-02   -1.637090E-11
3.583333E-03    5.555250E-03    3.628884E-10
3.604167E-03    1.020487E-02    5.602487E-10
3.625000E-03    -1.670024E-02   1.045827E-09
3.645833E-03    6.634232E-03    -1.176101E-10
3.666667E-03    -1.456943E-02   1.795289E-09
3.687500E-03    1.116966E-02    -3.250284E-10
3.708333E-03    -2.200276E-02   3.874447E-10
3.729167E-03    4.376540E-03    2.958711E-10
3.750000E-03    -1.374642E-02   5.309399E-10
3.770833E-03    6.131662E-03    9.519021E-10
3.791667E-03    -1.129652E-02   -5.257415E-10
3.812500E-03    -2.021736E-03   2.056529E-10
