Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -4.761207E-05   -3.783498E-10
2.083333E-05    -2.715988E-04   -2.455636E-10
4.166667E-05    2.247639E-05    -2.110028E-10
6.250000E-05    8.808127E-05    -3.801688E-10
8.333333E-05    -1.575735E-04   1.885507E-10
1.041667E-04    1.345005E-04    -6.522508E-12
1.250000E-04    -1.300981E-04   2.255547E-10
1.458333E-04    6.528980E-05    1.409070E-10
1.666667E-04    -3.800190E-05   9.094947E-13
1.875000E-04    -6.443087E-05   -3.274181E-11
2.083333E-04    8.988538E-05    7.094059E-11
2.291667E-04    -1.770576E-04   -5.275069E-11
2.500000E-04    1.821173E-04    -2.910383E-11
2.708333E-04    -2.181660E-04   -4.438334E-10
2.916667E-04    2.005633E-04    -8.185452E-11
3.125000E-04    -1.930757E-04   -2.874003E-10
3.333333E-04    1.473645E-04    3.204191E-11
3.541667E-04    -9.433115E-05   -3.679437E-11
3.750000E-04    1.995466E-05    -3.674543E-11
3.958333E-04    3.683996E-05    1.547568E-10
4.166667E-04    -1.140060E-04   3.781096E-11
4.375000E-04    1.540330E-04    5.249215E-11
4.583333E-04    -1.496525E-04   4.817645E-11
4.791667E-04    2.180842E-04    7.578446E-11
5.000000E-04    -2.262020E-04   -2.236510E-10
5.208333E-04    1.476218E-04    -1.131162E-10
5.416666E-04    -1.414244E-04   3.337310E-10
5.625000E-04    -1.745182E-06   3.714127E-10
5.833333E-04    4.719924E-05    -1.673470E-09
6.041666E-04    -1.585475E-04   1.380613E-09
6.250000E-04    1.925456E-04    1.565668E-10
6.458333E-04    -2.334745E-04   -9.037884E-11
6.666667E-04    2.071160E-04    1.855369E-10
6.875000E-04    -1.092358E-04   5.456968E-12
7.083333E-04    1.344068E-04    8.640200E-12
7.291667E-04    -6.957781E-05   2.637535E-10
7.500000E-04    -6.638230E-05   5.394551E-11
7.708333E-04    1.442543E-04    5.896111E-11
7.916667E-04    -1.521197E-04   -8.567440E-10
8.125000E-04    1.593188E-04    -2.920124E-10
8.333334E-04    -2.167606E-04   2.689831E-10
8.541666E-04    1.615216E-04    -5.911716E-11
8.750000E-04    -1.158010E-04   -2.310117E-10
8.958333E-04    3.280130E-05    -4.019967E-10
9.166666E-04    -1.183625E-05   2.728484E-10
9.375000E-04    -5.485916E-05   1.236913E-10
9.583333E-04    1.161603E-04    -3.565219E-10
9.791667E-04    -1.584745E-04   3.637979E-12
9.999999E-04    1.826283E-04    2.773825E-10
1.020833E-03    -1.852205E-04   -6.054372E-12
1.041667E-03    1.888594E-04    -5.815412E-11
1.062500E-03    -1.579018E-04   -9.276846E-11
1.083333E-03    9.536358E-05    2.195271E-10
1.104167E-03    -2.896850E-05   -1.282655E-10
1.125000E-03    -5.554487E-05   1.351491E-10
1.145833E-03    1.015548E-04    -1.587581E-10
1.166667E-03    -1.810174E-04   -1.336690E-10
1.187500E-03    2.265813E-04    -2.889340E-10
1.208333E-03    -2.413347E-04   2.753673E-10
1.229167E-03    2.131729E-04    -5.169318E-10
1.250000E-03    -1.705186E-04   3.934003E-11
1.270833E-03    9.332370E-05    3.249214E-10
1.291667E-03    1.150645E-05    -2.923178E-10
1.312500E-03    -1.143053E-04   -1.341065E-11
1.333333E-03    2.006953E-04    -1.989476E-10
1.354167E-03    -1.939530E-04   1.085152E-10
1.375000E-03    3.284701E-04    5.633512E-11
1.395833E-03    -3.526296E-04   4.259242E-10
1.416667E-03    2.361468E-04    1.069975E-11
1.437500E-03    -1.481274E-04   5.586254E-12
1.458333E-03    1.035889E-04    1.636020E-10
1.479167E-03    -9.528307E-06   7.230253E-11
1.500000E-03    -1.357313E-04   2.913772E-10
1.520833E-03    1.955253E-04    -7.483711E-11
1.541667E-03    -1.536337E-04   3.019522E-10
1.562500E-03    2.691837E-04    3.139853E-10
1.583333E-03    -2.680424E-04   -7.356473E-10
