Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -3.742830E-04   -4.074536E-10
2.083333E-05    -7.190858E-05   5.275069E-10
4.166667E-05    3.947716E-05    -4.401954E-10
6.250000E-05    -1.398154E-04   -1.527951E-10
8.333333E-05    2.140130E-04    -5.268828E-10
1.041667E-04    -3.233151E-04   -1.574674E-11
1.250000E-04    3.058241E-04    3.286665E-10
1.458333E-04    -3.149443E-04   -2.487066E-10
1.666667E-04    1.439956E-04    -1.382432E-10
1.875000E-04    -6.808186E-05   -6.039045E-10
2.083333E-04    -5.663227E-05   5.375114E-10
2.291667E-04    1.018858E-04    -6.693881E-10
2.500000E-04    -1.656878E-04   -1.236913E-10
2.708333E-04    1.208327E-04    -3.686307E-10
2.916667E-04    -3.951338E-05   -9.082464E-10
3.125000E-04    -3.054696E-05   2.020371E-10
3.333333E-04    7.267031E-05    -3.107028E-10
3.541667E-04    -1.082875E-04   -2.624516E-10
3.750000E-04    8.486625E-05    2.849036E-10
3.958333E-04    -6.073693E-06   7.092988E-10
4.166667E-04    -7.547434E-05   -2.880245E-10
4.375000E-04    7.674254E-05    -3.346405E-10
4.583333E-04    -1.186605E-04   6.074354E-10
4.791667E-04    1.756512E-04    1.679398E-10
5.000000E-04    -2.243003E-04   3.771014E-10
5.208333E-04    4.638286E-05    -6.116975E-10
5.416666E-04    -7.800778E-05   1.141077E-09
5.625000E-04    -1.367661E-04   -8.465078E-10
5.833333E-04    1.188107E-04    3.647250E-10
6.041666E-04    -1.013891E-04   6.403378E-10
6.250000E-04    -6.500873E-05   -6.826829E-10
6.458333E-04    1.061713E-04    5.074888E-11
6.666667E-04    -2.295581E-04   2.401066E-10
6.875000E-04    3.180548E-04    4.256435E-10
7.083333E-04    -1.746768E-04   5.857146E-10
7.291667E-04    -1.013767E-04   1.091394E-11
7.500000E-04    8.987618E-05    6.954781E-10
7.708333E-04    -2.421039E-04   -1.194822E-12
7.916667E-04    4.192180E-04    -4.425851E-10
8.125000E-04    -5.793641E-04   3.115421E-10
8.333334E-04    3.860376E-04    4.802132E-10
8.541666E-04    -2.911300E-04   3.456080E-10
8.750000E-04    1.392613E-04    5.811671E-10
8.958333E-04    4.872565E-05    -6.330083E-10
9.166666E-04    -3.352559E-04   3.565219E-10
9.375000E-04    3.893314E-04    -2.085596E-10
9.583333E-04    -3.749022E-04   -6.027602E-12
9.791667E-04    2.373439E-04    -9.475642E-10
9.999999E-04    -1.117303E-04   5.626384E-10
1.020833E-03    -1.866377E-04   4.813009E-10
1.041667E-03    3.694395E-04    -1.351223E-10
1.062500E-03    -4.842809E-04   -3.492460E-10
1.083333E-03    4.581297E-04    -4.044398E-10
1.104167E-03    -3.639723E-04   3.764237E-10
1.125000E-03    1.181128E-04    8.907694E-11
1.145833E-03    9.903495E-05    -3.533253E-10
1.166667E-03    -2.857899E-04   -1.057599E-10
1.187500E-03    4.144312E-04    -2.813727E-10
1.208333E-03    -4.236466E-04   3.192594E-10
1.229167E-03    2.685015E-04    2.567896E-10
1.250000E-03    -1.241528E-05   -1.804437E-09
1.270833E-03    -2.481299E-04   -2.074183E-10
1.291667E-03    5.133110E-04    6.066417E-10
1.312500E-03    -7.069801E-04   -2.031784E-10
1.333333E-03    7.757658E-04    -6.924643E-10
1.354167E-03    -6.321752E-04   -6.141726E-11
1.375000E-03    5.638579E-04    -6.413184E-10
1.395833E-03    -3.871455E-04   -6.766641E-10
1.416667E-03    -1.016991E-04   9.180542E-11
1.437500E-03    4.046937E-04    -9.809524E-10
1.458333E-03    -4.500142E-04   1.475875E-10
1.479167E-03    4.314877E-04    -9.108188E-10
1.500000E-03    -4.031025E-04   5.875871E-10
1.520833E-03    1.646031E-04    -2.340790E-10
1.541667E-03    2.169967E-04    -2.097192E-11
1.562500E-03    -3.279324E-04   5.545732E-10
1.583333E-03    3.711107E-04    3.178596E-10
1.604167E-03    -5.550591E-04   -4.243416E-10
1.625000E-03    5.548092E-04    2.957105E-10
1.645833E-03    -4.896258E-04   6.794897E-11
1.666667E-03    3.423276E-04    1.243970E-09
1.687500E-03    -2.984270E-04   2.041009E-11
1.708333E-03    1.543553E-04    3.651533E-10
1.729167E-03    -5.283649E-05   -2.090767E-10
1.750000E-03    3.384132E-05    -9.760126E-11
1.770833E-03    -7.211691E-05   -1.550241E-10
1.791667E-03    1.008144E-04    -4.734903E-10
1.812500E-03    -1.098396E-04   -9.606299E-11
1.833333E-03    2.011289E-04    -7.380997E-10
1.854167E-03    -2.351250E-04   -7.995170E-10
1.875000E-03    2.549789E-04    6.673198E-11
1.895833E-03    -3.140528E-04   7.994044E-10
1.916667E-03    4.634423E-04    -4.949701E-10
1.937500E-03    -5.407532E-04   -1.141452E-09
1.958333E-03    7.638854E-04    3.363796E-10
1.979167E-03    -8.174073E-04   -3.762501E-10
2.000000E-03    9.129109E-04    -3.427900E-10
2.020833E-03    -1.072311E-03   5.197139E-10
2.041667E-03    1.081036E-03    -6.537654E-11
2.062500E-03    -9.123905E-04   -7.004088E-10
2.083333E-03    6.988975E-04    -2.073962E-10
2.104167E-03    -5.100019E-04   -6.874679E-11
2.125000E-03    2.955275E-04    9.238325E-10
2.145833E-03    -7.556647E-05   -4.220813E-10
2.166667E-03    1.553709E-05    3.896737E-10
2.187500E-03    -1.443401E-04   8.834566E-11
2.208333E-03    4.137601E-04    1.279133E-09
2.229167E-03    -7.257758E-04   1.506900E-11
2.250000E-03    1.160008E-03    -8.508587E-10
2.270833E-03    -1.647471E-03   2.230044E-10
2.291667E-03    1.993589E-03    3.917605E-10
2.312500E-03    -2.023433E-03   8.752949E-10
2.333333E-03    1.891942E-03    2.484168E-11
2.354167E-03    -1.974208E-03   3.144909E-11
2.375000E-03    1.708549E-03    7.643856E-10
2.395833E-03    -1.331159E-03   -7.732311E-10
2.416667E-03    1.030468E-03    4.646087E-10
2.437500E-03    -1.018402E-03   -1.272222E-10
2.458333E-03    9.625881E-04    -1.678641E-10
2.479167E-03    -1.096410E-03   -6.982021E-10
2.500000E-03    1.399046E-03    9.182240E-10
2.520833E-03    -1.877775E-03   3.296119E-10
2.541667E-03    2.273043E-03    4.017381E-10
2.562500E-03    -2.642142E-03   -1.157468E-10
2.583333E-03    2.910462E-03    -1.939541E-10
2.604167E-03    -3.136389E-03   1.947030E-10
2.625000E-03    3.122390E-03    -2.947830E-10
2.645833E-03    -3.162208E-03   -7.175677E-11
2.666667E-03    3.119443E-03    -4.984031E-10
2.687500E-03    -3.170509E-03   5.093170E-10
2.708333E-03    3.228754E-03    0.000000E+00
2.729167E-03    -3.486719E-03   -6.039045E-10
2.750000E-03    3.725063E-03    3.336598E-11
2.770833E-03    -4.070837E-03   -7.651704E-10
2.791667E-03    4.358647E-03    5.469452E-10
2.812500E-03    -4.685576E-03   -8.135961E-11
2.833333E-03    4.849011E-03    4.001777E-10
2.854167E-03    -5.027693E-03   -7.421477E-10
2.875000E-03    5.104774E-03    3.119567E-10
2.895833E-03    -5.287288E-03   4.656613E-10
2.916667E-03    5.467423E-03    -6.984919E-10
2.937500E-03    -5.877410E-03   6.645553E-10
2.958333E-03    6.424753E-03    6.124288E-10
2.979167E-03    -7.160498E-03   1.526261E-09
3.000000E-03    8.031086E-03    -4.824836E-10
3.020833E-03    -9.002520E-03   9.635472E-10
3.041667E-03    9.999398E-03    -2.235039E-10
3.062500E-03    -1.094455E-02   1.053943E-10
3.083333E-03    1.190127E-02    -4.117158E-10
3.104167E-03    -1.289108E-02   6.985454E-10
3.125000E-03    1.400797E-02    1.236806E-09
3.145833E-03    -1.550385E-02   -5.397688E-11
3.166667E-03    1.768286E-02    -8.961911E-10
3.187500E-03    -2.109654E-02   6.688710E-10
3.208333E-03    2.706704E-02    -3.504943E-10
3.229167E-03    -3.107745E-02   6.668914E-10
3.250000E-03    2.014313E-01    1.100664E-10
3.270833E-03    6.127374E-02    -3.034021E-09
3.291667E-03    -6.486326E-02   3.020780E-09
3.312500E-03    -1.817157E-02   1.277657E-09
3.333333E-03    1.221111E-02    2.864908E-09
3.354167E-03    7.390502E-02    -1.657099E-09
3.375000E-03    -1.131652E-01   6.984919E-10
3.395833E-03    2.583217E-02    -7.335075E-10
3.416667E-03    -5.348836E-02   1.883278E-09
3.437500E-03    5.665579E-02    -5.068739E-10
3.458333E-03    -6.364682E-02   -1.239302E-09
3.479167E-03    -1.701421E-02   7.044438E-10
3.500000E-03    1.847741E-02    -1.055014E-10
3.520833E-03    -2.349034E-03   4.729372E-10
3.541667E-03    2.596363E-02    -2.385605E-09
3.562500E-03    -4.848329E-02   1.071385E-09
3.583333E-03    1.431497E-02    -1.891749E-10
3.604167E-03    -2.467452E-02   8.901100E-10
3.625000E-03    1.116477E-02    -1.025571E-09
3.645833E-03    -1.629050E-02   -1.233346E-10
3.666667E-03    -6.325727E-03   1.312062E-09
3.687500E-03    5.867738E-03    1.427175E-09
3.708333E-03    -1.439808E-02   4.615062E-10
3.729167E-03    1.003750E-02    -7.330527E-10
3.750000E-03    -2.753935E-02   1.667229E-10
3.770833E-03    2.458383E-02    2.977524E-10
3.791667E-03    -2.451886E-02   -8.422456E-10
3.812500E-03    1.884179E-02    -1.055455E-09
3.833333E-03    -1.713081E-02   -8.575105E-11
3.854167E-03    6.553850E-03    -1.529066E-10
3.875000E-03    1.341344E-03    -1.254166E-09
3.895833E-03    -1.663663E-02   8.770650E-10
3.916667E-03    1.914248E-02    2.510205E-10
3.937500E-03    -3.688141E-02   9.658299E-10
3.958333E-03    2.595589E-02    -5.902533E-10
3.979167E-03    -3.482669E-02   3.843552E-10
4.000000E-03    1.345681E-02    6.129994E-10
4.020833E-03    -8.910782E-03   5.648138E-10
4.041667E-03    -7.722009E-03   1.231598E-09
4.062500E-03    1.713878E-02    -9.458745E-11
4.083333E-03    -3.102603E-02   -1.630849E-10
4.104167E-03    3.679039E-02    7.655820E-11
4.125000E-03    -2.509125E-02   3.372979E-10
4.145833E-03    2.344263E-02    2.870426E-10
4.166666E-03    -1.400023E-02   -5.554695E-10
4.187500E-03    1.094611E-03    -2.230044E-10
4.208333E-03    9.944241E-03    -5.377607E-10
4.229167E-03    -2.489180E-02   -1.614265E-10
4.250000E-03    2.074100E-02    8.916565E-11
4.270833E-03    -2.853167E-02   -3.931694E-10
4.291667E-03    2.011308E-02    -3.459644E-10
4.312500E-03    -1.487222E-02   -1.715335E-10
4.333333E-03    2.979485E-03    2.383412E-10
4.354167E-03    2.444474E-03    -1.203122E-10
4.375000E-03    -7.947300E-03   5.956310E-11
4.395833E-03    1.418319E-02    -1.558625E-10
4.416666E-03    -1.719534E-02   -1.256885E-10
4.437500E-03    1.386644E-02    4.470966E-10
4.458333E-03    -1.397461E-02   -7.188573E-10
