Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -2.753194E-04   2.874003E-10
2.083333E-05    -1.446298E-04   -5.093170E-11
4.166667E-05    4.216687E-05    -6.039045E-10
6.250000E-05    3.924305E-05    1.102308E-09
8.333333E-05    6.634428E-05    6.268200E-10
1.041667E-04    -1.307340E-04   9.761196E-10
1.250000E-04    2.099051E-04    5.571095E-11
1.458333E-04    -1.934088E-04   2.631828E-10
1.666667E-04    2.205033E-04    2.328306E-10
1.875000E-04    -1.860675E-04   -1.586159E-09
2.083333E-04    1.597780E-04    -8.731149E-11
2.291667E-04    -5.701126E-05   6.293703E-10
2.500000E-04    -1.193894E-05   1.256173E-10
2.708333E-04    9.367894E-05    1.868924E-10
2.916667E-04    -1.068495E-04   -1.156877E-09
3.125000E-04    1.512491E-04    -1.387603E-10
3.333333E-04    -1.362243E-04   -3.133833E-10
3.541667E-04    1.549182E-04    -1.721263E-10
3.750000E-04    -1.003186E-04   -5.916351E-10
3.958333E-04    1.015998E-04    -2.366828E-10
4.166667E-04    -7.359809E-05   -4.485591E-10
4.375000E-04    9.691190E-05    8.399481E-11
4.583333E-04    -9.654900E-05   -2.062235E-10
4.791667E-04    2.092771E-04    1.087863E-09
5.000000E-04    -7.756172E-05   -9.605000E-11
5.208333E-04    -1.097181E-04   4.014260E-10
5.416666E-04    2.519592E-04    3.279352E-10
5.625000E-04    -4.910725E-04   1.743367E-09
5.833333E-04    5.373106E-04    -5.466958E-10
6.041666E-04    -5.079107E-04   2.533030E-10
6.250000E-04    3.593399E-04    1.752150E-09
6.458333E-04    -1.607843E-04   -7.744795E-10
6.666667E-04    -9.705715E-05   1.338776E-09
6.875000E-04    2.921020E-04    -1.535227E-09
7.083333E-04    -3.101547E-04   -1.091394E-10
7.291667E-04    4.883995E-04    1.196895E-09
7.500000E-04    -5.742502E-04   -4.209179E-10
7.708333E-04    3.246354E-04    -1.916716E-10
7.916667E-04    -2.777022E-05   -5.118138E-10
8.125000E-04    -1.743059E-04   -1.461219E-09
8.333334E-04    2.681243E-04    8.640200E-10
8.541666E-04    -4.320852E-04   1.396984E-09
8.750000E-04    4.401566E-04    -3.710738E-10
8.958333E-04    -3.317921E-04   -3.565219E-10
9.166666E-04    1.037363E-04    2.274808E-10
9.375000E-04    3.806123E-05    6.043505E-10
9.583333E-04    -1.530895E-04   2.692104E-10
9.791667E-04    2.634969E-04    -7.972344E-10
9.999999E-04    -3.565717E-04   -8.457766E-10
1.020833E-03    3.323333E-04    1.164153E-09
