Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -3.282677E-04   -2.546585E-10
2.083333E-05    -2.247962E-04   7.403287E-10
4.166667E-05    2.629235E-04    -4.911271E-10
6.250000E-05    -3.454563E-04   -4.911271E-11
8.333333E-05    3.570175E-04    3.400975E-10
1.041667E-04    -3.859560E-04   8.979566E-10
1.250000E-04    2.873901E-04    7.900656E-10
1.458333E-04    -1.706760E-04   1.622021E-10
1.666667E-04    -7.748984E-05   4.802132E-10
1.875000E-04    1.473757E-04    -3.128662E-10
2.083333E-04    -2.035817E-04   4.014282E-10
2.291667E-04    1.618706E-04    -2.037268E-10
2.500000E-04    -1.427776E-04   -7.021299E-10
2.708333E-04    6.409624E-06    -9.458745E-10
2.916667E-04    1.100411E-04    -6.608638E-10
3.125000E-04    -1.637963E-04   8.619803E-10
3.333333E-04    1.376276E-04    -9.556471E-10
3.541667E-04    -7.325942E-05   2.516983E-10
3.750000E-04    -3.152521E-05   -1.013748E-09
3.958333E-04    1.738469E-04    4.977254E-10
4.166667E-04    -2.590691E-04   2.565310E-10
4.375000E-04    2.339782E-04    4.322953E-10
4.583333E-04    -1.949851E-04   1.159891E-09
4.791667E-04    1.820925E-04    4.833784E-10
5.000000E-04    -1.494155E-04   1.377261E-10
5.208333E-04    -7.804277E-05   -1.975921E-10
5.416666E-04    6.590295E-05    5.977654E-10
5.625000E-04    -2.296960E-04   6.134629E-10
5.833333E-04    1.037191E-04    -1.873559E-09
6.041666E-04    2.729532E-05    6.511982E-10
6.250000E-04    -2.447364E-04   2.083990E-10
6.458333E-04    3.085081E-04    5.729816E-10
6.666667E-04    -3.741726E-04   -2.546585E-10
6.875000E-04    3.319289E-04    -7.958079E-11
7.083333E-04    1.765783E-05    8.039933E-10
7.291667E-04    -4.026650E-04   1.042281E-09
7.500000E-04    4.559573E-04    -1.401157E-10
7.708333E-04    -6.131794E-04   -3.098524E-10
7.916667E-04    7.442198E-04    2.079890E-10
8.125000E-04    -7.121561E-04   -2.306996E-10
8.333334E-04    3.158949E-04    3.055902E-10
8.541666E-04    -2.941870E-05   -1.171543E-10
8.750000E-04    -2.390789E-04   6.681375E-10
8.958333E-04    4.767226E-04    1.018634E-10
9.166666E-04    -6.780960E-04   6.803020E-10
9.375000E-04    5.769425E-04    4.365575E-10
9.583333E-04    -3.183589E-04   -3.261697E-10
9.791667E-04    -2.764568E-05   2.289720E-10
9.999999E-04    3.117236E-04    -5.614971E-10
1.020833E-03    -6.225948E-04   2.783054E-10
1.041667E-03    7.715686E-04    -3.876940E-11
1.062500E-03    -7.060894E-04   -3.445372E-11
1.083333E-03    4.483534E-04    -8.970111E-11
1.104167E-03    -9.411763E-05   -7.556654E-10
1.125000E-03    -2.719908E-04   8.554604E-11
1.145833E-03    5.545412E-04    1.434416E-10
1.166667E-03    -6.848354E-04   7.415235E-10
1.187500E-03    6.671577E-04    -8.925531E-10
1.208333E-03    -4.014040E-04   5.795799E-10
1.229167E-03    9.863987E-06    -6.027595E-12
1.250000E-03    4.384544E-04    1.633452E-09
1.270833E-03    -7.867281E-04   1.246561E-09
1.291667E-03    1.038961E-03    -8.636635E-10
1.312500E-03    -1.074052E-03   5.743502E-10
1.333333E-03    9.177442E-04    -9.243495E-10
1.354167E-03    -5.314446E-04   -5.357070E-11
1.375000E-03    2.679007E-04    -2.512347E-10
1.395833E-03    7.553556E-05    -5.948095E-10
1.416667E-03    -6.109227E-04   4.565128E-10
1.437500E-03    8.160000E-04    -1.432632E-09
1.458333E-03    -6.705761E-04   1.253016E-09
1.479167E-03    4.493450E-04    -5.714212E-10
1.500000E-03    -2.030969E-04   2.057508E-10
1.520833E-03    -1.814049E-04   -6.477744E-10
1.541667E-03    6.057524E-04    7.506742E-10
1.562500E-03    -6.421726E-04   6.423526E-10
1.583333E-03    5.712012E-04    -4.422638E-10
1.604167E-03    -6.478952E-04   -5.138821E-10
1.625000E-03    5.193956E-04    4.464372E-10
1.645833E-03    -3.660786E-04   6.738395E-10
1.666667E-03    1.426575E-04    1.190029E-09
1.687500E-03    -9.862665E-05   3.519033E-10
1.708333E-03    1.803554E-05    1.597498E-10
1.729167E-03    -9.855998E-06   4.688357E-10
1.750000E-03    5.766959E-05    2.450465E-10
1.770833E-03    -1.534637E-04   -2.815836E-11
1.791667E-03    2.202438E-04    -3.960226E-10
1.812500E-03    -2.435480E-04   1.706194E-10
1.833333E-03    2.962377E-04    -7.275958E-10
1.854167E-03    -3.337028E-04   -2.738826E-10
1.875000E-03    3.838412E-04    1.504434E-10
1.895833E-03    -4.908121E-04   7.275958E-11
1.916667E-03    6.765695E-04    -9.522234E-10
1.937500E-03    -8.213561E-04   -7.324821E-10
1.958333E-03    1.053907E-03    -3.855521E-11
1.979167E-03    -1.096129E-03   -2.894863E-10
2.000000E-03    1.139906E-03    2.024293E-10
2.020833E-03    -1.225687E-03   5.587326E-10
2.041667E-03    1.100292E-03    -8.663912E-10
2.062500E-03    -7.886934E-04   -4.991879E-10
2.083333E-03    4.867376E-04    3.777256E-10
2.104167E-03    -2.757416E-04   1.420791E-09
2.125000E-03    1.200924E-04    6.226115E-10
2.145833E-03    -1.804755E-05   6.158082E-10
2.166667E-03    1.615443E-04    9.974839E-10
2.187500E-03    -5.049927E-04   1.735888E-10
2.208333E-03    9.782405E-04    7.193721E-10
2.229167E-03    -1.414068E-03   2.559069E-10
2.250000E-03    1.867566E-03    -5.698072E-10
2.270833E-03    -2.305540E-03   5.695930E-11
2.291667E-03    2.479583E-03    -1.064358E-09
2.312500E-03    -2.257796E-03   6.838264E-10
2.333333E-03    1.916750E-03    -2.121884E-10
2.354167E-03    -1.907710E-03   5.783284E-11
2.375000E-03    1.586919E-03    1.260809E-10
2.395833E-03    -1.205800E-03   -2.840301E-10
2.416667E-03    1.070789E-03    2.826211E-10
2.437500E-03    -1.278503E-03   -3.708596E-10
2.458333E-03    1.467841E-03    -2.250376E-10
2.479167E-03    -1.759474E-03   -4.552201E-10
2.500000E-03    2.250785E-03    4.064193E-11
2.520833E-03    -2.760249E-03   -4.112786E-10
2.541667E-03    3.144142E-03    3.491724E-11
2.562500E-03    -3.331037E-03   4.975647E-10
2.583333E-03    3.505469E-03    -1.619828E-09
2.604167E-03    -3.568594E-03   2.432275E-10
2.625000E-03    3.561169E-03    -1.028977E-11
2.645833E-03    -3.553450E-03   7.308904E-10
2.666667E-03    3.650482E-03    -3.310561E-10
2.687500E-03    -3.847036E-03   3.892637E-10
2.708333E-03    4.163913E-03    -1.386070E-09
2.729167E-03    -4.552602E-03   -6.166374E-10
2.750000E-03    4.912124E-03    -2.192418E-10
2.770833E-03    -5.274707E-03   -5.190361E-10
2.791667E-03    5.539676E-03    7.755137E-10
2.812500E-03    -5.717183E-03   -7.072748E-10
2.833333E-03    5.743925E-03    -3.201421E-10
2.854167E-03    -5.848642E-03   -4.947651E-10
2.875000E-03    5.939392E-03    1.758735E-10
2.895833E-03    -6.220995E-03   -7.275958E-12
2.916667E-03    6.629422E-03    -1.982698E-10
2.937500E-03    -7.380078E-03   1.091394E-09
2.958333E-03    8.312028E-03    -4.604536E-11
2.979167E-03    -9.362924E-03   1.720543E-09
3.000000E-03    1.053144E-02    -9.047155E-10
3.020833E-03    -1.164537E-02   5.500125E-10
3.041667E-03    1.274170E-02    -8.354868E-10
3.062500E-03    -1.361066E-02   9.997665E-10
3.083333E-03    1.460241E-02    -1.111349E-09
3.104167E-03    -1.557126E-02   1.163529E-09
3.125000E-03    1.694576E-02    7.888172E-10
3.145833E-03    -1.885492E-02   1.044120E-11
3.166667E-03    2.194886E-02    -8.299763E-10
3.187500E-03    -2.674265E-02   8.646977E-10
3.208333E-03    3.520456E-02    2.808065E-10
3.229167E-03    -4.783848E-02   2.714930E-10
3.250000E-03    1.970355E-01    8.258212E-10
3.270833E-03    1.090590E-01    -4.114554E-09
3.291667E-03    -1.029304E-01   3.227921E-09
3.312500E-03    1.212435E-03    2.582964E-10
3.333333E-03    -2.233833E-02   3.899913E-09
3.354167E-03    1.220573E-01    -2.869001E-09
3.375000E-03    -1.455197E-01   2.175511E-09
3.395833E-03    3.858052E-02    3.983587E-10
3.416667E-03    -6.557646E-02   1.920003E-09
3.437500E-03    6.370413E-02    -6.736502E-10
3.458333E-03    -5.353261E-02   -9.425218E-10
3.479167E-03    -4.019549E-02   1.500978E-09
3.500000E-03    4.007905E-02    -1.328772E-09
3.520833E-03    -1.411084E-02   1.171543E-10
3.541667E-03    1.921813E-02    -1.478270E-09
3.562500E-03    -5.690894E-02   1.144144E-09
3.583333E-03    3.617954E-02    -6.639311E-10
3.604167E-03    -1.689924E-02   5.743459E-10
3.625000E-03    -5.643441E-03   5.760490E-10
3.645833E-03    -9.837809E-03   5.272862E-10
3.666667E-03    -4.986452E-03   1.359356E-09
3.687500E-03    1.494928E-02    1.118224E-09
3.708333E-03    -3.262942E-02   -4.807839E-10
3.729167E-03    1.633003E-02    -1.654210E-10
3.750000E-03    -2.983109E-02   2.959246E-10
3.770833E-03    3.280717E-02    6.849742E-10
3.791667E-03    -3.374952E-02   -3.291835E-10
3.812500E-03    1.612799E-02    -8.933824E-10
3.833333E-03    -8.499725E-03   -1.024876E-10
3.854167E-03    -1.204854E-03   4.025673E-10
3.875000E-03    1.207736E-02    -3.517427E-10
3.895833E-03    -3.249975E-02   5.778680E-10
3.916667E-03    3.586397E-02    1.560693E-09
3.937500E-03    -4.682722E-02   1.650377E-09
3.958333E-03    2.959973E-02    4.241809E-10
3.979167E-03    -3.318628E-02   -3.205926E-10
4.000000E-03    4.242714E-03    2.173942E-09
4.020833E-03    5.726971E-03    6.876851E-10
4.041667E-03    -2.875811E-02   1.034113E-09
4.062500E-03    3.578024E-02    -1.109584E-10
4.083333E-03    -4.066000E-02   3.268827E-11
4.104167E-03    4.332593E-02    6.701193E-10
4.125000E-03    -2.751267E-02   -5.778145E-10
4.145833E-03    1.703907E-02    4.389027E-10
4.166666E-03    -1.707906E-04   -8.210863E-10
4.187500E-03    -1.457788E-02   2.314752E-10
4.208333E-03    2.476553E-02    -8.377671E-10
4.229167E-03    -3.722877E-02   3.369766E-10
4.250000E-03    2.974902E-02    -1.641550E-10
4.270833E-03    -3.124243E-02   -1.006365E-09
4.291667E-03    1.496043E-02    1.472135E-10
4.312500E-03    -6.577583E-03   -3.405052E-10
4.333333E-03    -6.046133E-03   6.643947E-10
4.354167E-03    1.124010E-02    2.065800E-10
4.375000E-03    -1.716597E-02   -4.490411E-11
4.395833E-03    2.083754E-02    9.961285E-10
4.416666E-03    -1.987304E-02   -7.070698E-10
4.437500E-03    1.493223E-02    6.817462E-10
4.458333E-03    -1.363292E-02   -1.586783E-09
4.479167E-03    5.732839E-03    -4.237618E-10
4.500000E-03    -7.073528E-03   3.816130E-10
4.520833E-03    -5.822243E-03   -5.044307E-10
4.541667E-03    1.323898E-03    -8.318801E-10
4.562500E-03    -1.310509E-02   -3.515285E-10
4.583333E-03    1.096678E-02    1.700579E-10
4.604167E-03    -1.827524E-02   -1.041175E-09
4.625000E-03    1.327234E-02    -1.128357E-09
4.645833E-03    -1.754106E-02   1.256922E-09
4.666667E-03    1.151302E-02    4.897717E-10
4.687500E-03    -7.056651E-03   -1.697117E-09
4.708333E-03    -2.994227E-03   2.614877E-10
4.729167E-03    9.915223E-03    -6.680326E-10
4.750000E-03    -1.659624E-02   4.222014E-10
4.770833E-03    2.377682E-02    -1.228906E-09
4.791667E-03    -2.313958E-02   -5.455362E-10
4.812500E-03    1.933346E-02    -3.403453E-11
4.833333E-03    -9.703603E-03   -9.724817E-10
4.854166E-03    7.053955E-03    8.623081E-10
4.875000E-03    8.838395E-03    -7.297734E-10
4.895833E-03    -1.702950E-02   8.828876E-10
4.916667E-03    2.451488E-02    -5.029682E-10
4.937500E-03    -2.154643E-02   -7.132580E-10
4.958333E-03    2.237391E-02    2.029156E-10
4.979167E-03    -1.414024E-02   -1.186202E-09
5.000000E-03    4.021385E-03    1.829377E-10
5.020833E-03    4.679051E-03    -1.256405E-09
5.041667E-03    -1.773680E-02   -4.496468E-10
5.062500E-03    1.189377E-02    -5.370654E-10
5.083333E-03    -2.549537E-02   -5.756506E-11
5.104166E-03    1.377400E-02    7.502454E-11
5.125000E-03    -1.178836E-02   -2.332406E-10
5.145833E-03    9.976965E-04    6.593569E-10
5.166667E-03    1.899410E-03    1.116628E-10
5.187500E-03    -7.730011E-03   4.088091E-10
5.208333E-03    1.540366E-02    -4.704405E-10
5.229167E-03    -1.021462E-02   4.679438E-10
5.250000E-03    9.778196E-03    -4.842796E-10
5.270833E-03    -5.348862E-03   -9.236366E-10
5.291667E-03    2.625405E-03    -3.910605E-10
5.312500E-03    1.858025E-03    -1.116774E-09
5.333333E-03    -5.481133E-03   3.818439E-10
5.354166E-03    2.008822E-03    1.231207E-10
5.375000E-03    -2.700645E-03   -8.599185E-10
5.395833E-03    2.142363E-03    -3.515637E-10
5.416667E-03    5.229508E-04    1.046630E-10
5.437500E-03    -1.804878E-04   -7.555917E-11
5.458333E-03    1.738090E-03    -1.944712E-10
5.479167E-03    3.634030E-03    -2.593750E-10
5.500000E-03    -2.655424E-03   5.812566E-10
5.520833E-03    5.798027E-03    -3.003826E-10
5.541666E-03    -3.989160E-03   3.211785E-10
5.562500E-03    5.879071E-03    8.581346E-10
5.583333E-03    -2.307433E-03   6.755228E-10
5.604167E-03    -3.616536E-03   2.781264E-10
5.625000E-03    5.541656E-03    -4.448676E-10
5.645833E-03    -9.894940E-03   -1.087120E-09
5.666667E-03    7.630067E-03    4.727231E-10
5.687500E-03    -1.228404E-02   -4.927320E-10
5.708333E-03    6.506054E-03    -7.622014E-11
5.729167E-03    -3.441588E-04   -2.209177E-10
5.750000E-03    -3.022735E-03   -4.401771E-10
5.770833E-03    8.193163E-03    -8.278712E-10
5.791666E-03    -9.386245E-03   4.123216E-10
5.812500E-03    1.593865E-02    9.018163E-10
5.833333E-03    -7.757207E-03   -2.965840E-10
5.854167E-03    7.577406E-03    1.277206E-09
5.875000E-03    1.367398E-03    -4.492229E-10
5.895833E-03    -2.795517E-04   1.491891E-09
5.916667E-03    9.194616E-03    -1.864112E-10
5.937500E-03    -1.002258E-02   3.620141E-10
5.958333E-03    9.243196E-03    -1.476056E-09
5.979167E-03    -8.881408E-03   -2.155680E-10
6.000000E-03    4.662102E-03    1.222208E-09
6.020833E-03    -2.279101E-03   -3.988310E-10
6.041666E-03    -3.678313E-03   -1.637090E-11
6.062500E-03    6.474466E-03    -1.239230E-09
6.083333E-03    -6.121865E-03   4.636586E-11
6.104167E-03    7.338110E-03    2.749351E-10
6.125000E-03    -3.464263E-03   3.578590E-10
6.145833E-03    5.556382E-03    -6.408641E-10
6.166667E-03    1.208660E-03    9.105655E-11
6.187500E-03    -3.478604E-04   5.017656E-10
6.208333E-03    2.836601E-03    -3.278119E-10
6.229166E-03    -1.710039E-03   -5.998381E-10
6.250000E-03    1.859870E-03    -6.899308E-10
6.270833E-03    -2.615173E-03   2.845104E-10
6.291667E-03    4.749829E-04    2.376198E-10
6.312500E-03    -1.324634E-03   2.808307E-10
6.333333E-03    -2.590171E-04   1.395111E-10
6.354167E-03    -2.314092E-03   5.242254E-10
6.375000E-03    2.003363E-03    -5.499362E-10
6.395833E-03    -9.409541E-05   3.504592E-10
6.416667E-03    1.382680E-03    -1.086721E-09
6.437500E-03    2.538215E-03    -4.705476E-10
6.458333E-03    2.827681E-03    1.128219E-09
6.479166E-03    9.189094E-03    -9.613934E-10
6.500000E-03    2.149448E-03    3.224606E-10
6.520833E-03    9.524420E-03    -4.964770E-10
6.541667E-03    2.863847E-03    5.941318E-10
6.562500E-03    6.859537E-03    -3.625495E-10
6.583333E-03    3.044585E-03    8.638440E-11
6.604167E-03    -2.080678E-03   3.593927E-10
6.625000E-03    3.608230E-03    -4.464372E-10
6.645833E-03    -7.088833E-03   5.787090E-11
6.666667E-03    1.941604E-03    -4.847072E-10
6.687500E-03    -7.906427E-03   -6.006343E-11
6.708333E-03    -1.497863E-03   4.651258E-10
6.729166E-03    -1.557854E-03   3.780745E-10
6.750000E-03    -5.736210E-03   -6.826733E-10
6.770833E-03    3.602255E-03    5.883000E-10
6.791667E-03    -4.992748E-03   1.202307E-09
6.812500E-03    4.691988E-03    1.105687E-09
6.833333E-03    -2.092193E-03   -7.093140E-11
6.854167E-03    2.018705E-03    3.693971E-10
6.875000E-03    3.530181E-03    -1.015399E-10
6.895833E-03    -2.740966E-03   1.159518E-10
6.916666E-03    3.518055E-03    1.450204E-10
6.937500E-03    -4.244195E-03   1.362452E-10
6.958333E-03    1.403393E-03    -7.991421E-10
6.979167E-03    -2.979469E-03   -1.037222E-09
7.000000E-03    -2.554095E-03   -2.041368E-10
7.020833E-03    -1.410923E-04   3.824957E-10
7.041667E-03    -4.285554E-03   -2.236286E-10
7.062500E-03    1.551434E-04    -3.342565E-10
7.083333E-03    -1.587755E-03   2.464371E-10
7.104167E-03    -5.293619E-04   1.548015E-10
7.125000E-03    6.567439E-04    -3.745604E-10
7.145833E-03    -1.459733E-03   -9.202797E-11
7.166666E-03    3.340354E-03    3.275076E-10
7.187500E-03    1.190253E-04    8.568676E-10
7.208333E-03    -2.014811E-04   -5.405271E-10
7.229167E-03    1.458903E-03    -2.960945E-10
7.250000E-03    -1.036825E-03   -4.602395E-10
7.270833E-03    2.686396E-03    1.735528E-09
7.291667E-03    -2.941294E-03   -9.741424E-11
7.312500E-03    1.803020E-04    1.372571E-10
7.333333E-03    -4.726502E-04   6.980636E-10
7.354166E-03    -4.139561E-03   8.507528E-12
7.375000E-03    3.826102E-04    1.090688E-09
7.395833E-03    -4.941723E-03   4.897044E-11
7.416666E-03    1.536235E-03    -1.490900E-10
7.437500E-03    -2.850859E-03   3.713767E-10
7.458333E-03    -4.042965E-04   1.111260E-09
7.479167E-03    1.738390E-03    -9.102520E-10
7.500000E-03    -1.661761E-03   -3.291292E-10
7.520833E-03    5.524067E-03    1.592511E-10
7.541667E-03    -1.608692E-03   8.493052E-10
7.562500E-03    4.832308E-03    -5.520089E-10
7.583333E-03    8.260236E-04    9.530035E-11
7.604166E-03    4.909408E-04    7.398024E-10
7.625000E-03    2.932128E-03    -4.875963E-10
7.645833E-03    -2.834632E-03   2.631044E-10
7.666667E-03    2.901451E-03    -6.172708E-10
7.687500E-03    -3.858178E-03   -8.248038E-10
7.708333E-03    8.007306E-04    -1.621909E-09
7.729167E-03    -5.861309E-04   3.799278E-10
7.750000E-03    -2.602311E-03   -1.434665E-09
7.770833E-03    8.073689E-04    1.749443E-10
7.791667E-03    -3.013052E-03   8.143902E-10
7.812500E-03    2.254157E-03    1.539991E-10
7.833334E-03    -1.485227E-03   9.894048E-10
7.854166E-03    6.440542E-05    -3.148458E-10
7.875000E-03    3.744860E-04    7.390711E-10
7.895833E-03    -3.001062E-04   -1.102806E-09
7.916667E-03    3.828594E-03    3.530887E-11
7.937500E-03    1.574431E-05    -9.002223E-10
7.958333E-03    2.233363E-03    -2.547736E-10
7.979167E-03    1.488327E-03    -1.787444E-10
7.999999E-03    4.891641E-04    -2.224154E-10
8.020833E-03    1.012135E-03    -1.009899E-10
8.041667E-03    -1.331209E-03   7.335874E-10
8.062500E-03    7.286380E-04    7.532850E-10
8.083333E-03    -1.010143E-03   -4.778679E-10
8.104167E-03    1.540355E-04    2.849664E-10
8.125000E-03    1.948230E-03    -9.827714E-10
8.145833E-03    -2.677273E-04   4.535174E-10
8.166666E-03    8.560185E-04    -8.006582E-10
8.187500E-03    8.190332E-04    5.422730E-10
8.208334E-03    1.614228E-03    -1.637069E-10
8.229166E-03    2.547684E-03    -2.141898E-13
8.250000E-03    5.914051E-04    -6.379703E-10
8.270834E-03    2.596894E-03    -1.120277E-10
8.291666E-03    1.879858E-03    -7.671883E-11
8.312500E-03    1.884487E-03    5.206646E-11
8.333333E-03    1.651584E-03    2.874707E-10
8.354167E-03    -9.343507E-04   -1.209092E-09
8.375000E-03    9.796482E-04    1.005798E-11
8.395833E-03    -1.871049E-03   2.713507E-10
8.416667E-03    -7.115960E-04   2.558885E-10
8.437500E-03    -1.062584E-03   1.011321E-10
8.458333E-03    -2.130673E-03   5.541324E-10
8.479167E-03    3.755816E-04    6.281663E-10
8.500000E-03    -1.081241E-03   3.817920E-10
8.520833E-03    1.357712E-03    4.137841E-10
8.541667E-03    1.279713E-05    5.310146E-10
8.562500E-03    1.215110E-03    2.795889E-10
8.583333E-03    2.212117E-03    -9.600684E-10
8.604167E-03    2.590846E-04    1.430444E-09
8.625000E-03    2.814270E-03    -1.501665E-09
8.645833E-03    -6.522665E-05   -2.688227E-10
8.666666E-03    2.055213E-03    2.110028E-10
8.687500E-03    1.096110E-03    2.668105E-10
8.708334E-03    2.858396E-04    8.121888E-10
8.729166E-03    1.848837E-03    4.046708E-10
8.750000E-03    -7.104760E-04   6.462935E-10
8.770833E-03    1.605132E-03    5.568066E-10
8.791666E-03    1.333454E-04    2.527297E-10
8.812500E-03    4.156808E-04    -4.742681E-11
8.833333E-03    1.279294E-03    -9.190180E-10
8.854167E-03    -5.181363E-04   -2.117762E-11
8.875000E-03    1.473045E-03    -3.406351E-10
8.895833E-03    -2.942766E-04   -1.090083E-09
8.916667E-03    6.333891E-04    -7.758318E-11
8.937499E-03    8.266161E-04    -1.769942E-10
8.958333E-03    -5.119623E-04   1.639416E-10
8.979167E-03    1.097339E-03    -2.439125E-10
9.000000E-03    -1.148236E-03   1.177848E-09
9.020833E-03    4.680405E-04    -1.789073E-10
9.041667E-03    -8.029701E-04   -2.466329E-10
9.062500E-03    -1.133711E-03   1.328933E-10
9.083333E-03    1.774685E-05    3.174312E-10
9.104166E-03    -2.289607E-03   4.985102E-10
9.125000E-03    4.511265E-04    -1.264554E-09
9.145834E-03    -1.001246E-03   -5.753621E-10
9.166666E-03    1.581858E-04    1.239942E-10
9.187500E-03    6.574024E-04    4.731132E-11
9.208334E-03    -1.117752E-04   -1.026569E-09
9.229166E-03    2.234851E-03    -1.135620E-09
9.250000E-03    -5.279512E-04   4.042440E-10
9.270833E-03    2.192453E-03    -1.431429E-09
9.291667E-03    1.023086E-03    -3.548452E-10
9.312500E-03    6.659398E-04    -2.095363E-10
9.333333E-03    1.341545E-03    5.239426E-11
9.354167E-03    -6.762675E-04   -4.001425E-10
9.374999E-03    1.385052E-03    -1.530803E-09
9.395833E-03    -1.187838E-03   -5.541140E-10
9.416667E-03    2.218087E-04    4.994373E-10
9.437500E-03    -2.629930E-04   9.497083E-10
9.458333E-03    -7.918473E-04   -4.257506E-10
9.479167E-03    3.061642E-04    3.785899E-10
9.500000E-03    -1.744347E-03   1.531607E-10
9.520833E-03    4.563378E-04    1.007613E-09
9.541666E-03    -1.304726E-03   -3.508134E-10
9.562500E-03    -3.944487E-04   3.535081E-10
9.583334E-03    -9.061533E-04   5.106725E-10
9.604166E-03    -1.548328E-03   1.604116E-09
9.625000E-03    6.241556E-04    1.242592E-10
9.645834E-03    -1.526599E-03   -4.227617E-10
9.666666E-03    -1.995116E-03   -3.897778E-10
9.687500E-03    3.469235E-03    -3.798475E-10
9.708333E-03    -1.285314E-03   -2.121440E-10
9.729167E-03    7.986008E-04    -7.588842E-10
9.750000E-03    -1.799480E-03   6.336325E-10
9.770833E-03    2.291216E-03    -3.895482E-10
9.791667E-03    -1.190072E-03   -1.248357E-11
9.812500E-03    -5.630638E-04   3.770387E-10
9.833333E-03    6.280278E-04    -2.826027E-10
9.854167E-03    -3.409495E-04   4.972772E-11
9.875000E-03    2.335153E-03    -5.260130E-10
9.895833E-03    -2.331910E-03   -7.573054E-10
9.916667E-03    -1.206352E-03   6.318303E-10
9.937500E-03    3.976629E-03    -7.632627E-10
9.958333E-03    -2.019496E-04   -7.064808E-10
9.979167E-03    1.928486E-03    -4.597761E-10
1.000000E-02    -2.612745E-04   2.672935E-10
1.002083E-02    3.208672E-03    7.750364E-11
1.004167E-02    -2.639119E-03   -1.046863E-09
1.006250E-02    -6.585727E-04   5.637077E-10
1.008333E-02    -1.157061E-03   5.333831E-10
1.010417E-02    -1.964315E-03   4.938044E-11
1.012500E-02    -9.455264E-04   -8.506445E-10
1.014583E-02    -2.312432E-03   4.091563E-10
1.016667E-02    2.672154E-04    1.464711E-10
1.018750E-02    -7.168503E-04   6.210418E-10
1.020833E-02    3.693877E-04    -5.544375E-10
