Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -2.678833E-04   -5.820766E-11
2.083333E-05    -1.191182E-04   1.164153E-10
4.166667E-05    1.065674E-04    -1.225999E-09
6.250000E-05    -1.854484E-04   2.601155E-10
8.333333E-05    3.181143E-04    3.752104E-11
1.041667E-04    -3.763802E-04   -3.201421E-10
1.250000E-04    4.130131E-04    2.567896E-10
1.458333E-04    -3.847228E-04   -1.425054E-10
1.666667E-04    2.848573E-04    1.164153E-10
1.875000E-04    -8.633517E-05   -1.746230E-10
2.083333E-04    -2.598123E-05   3.092282E-10
2.291667E-04    1.168868E-04    2.110028E-10
2.500000E-04    -1.744289E-04   4.479705E-11
2.708333E-04    2.219498E-04    4.553715E-10
2.916667E-04    -1.628498E-04   -1.763884E-10
3.125000E-04    1.067374E-04    2.606861E-10
3.333333E-04    -6.045235E-05   1.733746E-10
3.541667E-04    2.259962E-05    8.231807E-11
3.750000E-04    7.778331E-05    2.703517E-10
3.958333E-04    -1.608972E-04   1.302289E-09
4.166667E-04    2.461374E-04    1.617349E-09
4.375000E-04    -3.459856E-04   6.880030E-11
4.583333E-04    5.273916E-04    -2.506105E-10
4.791667E-04    -3.856274E-04   -3.206592E-10
5.000000E-04    1.152678E-04    -3.668117E-10
5.208333E-04    1.203313E-04    -3.176454E-10
5.416666E-04    -4.567412E-04   8.110551E-10
5.625000E-04    5.781679E-04    1.960853E-10
5.833333E-04    -6.233248E-04   3.553806E-10
6.041666E-04    4.559861E-04    -1.362584E-09
6.250000E-04    -2.724814E-04   -1.697064E-09
6.458333E-04    3.244237E-05    -1.636020E-10
6.666667E-04    1.538890E-04    5.093170E-10
6.875000E-04    -1.458860E-04   5.384209E-10
7.083333E-04    2.548945E-04    1.422450E-09
7.291667E-04    -3.566941E-04   8.240022E-10
7.500000E-04    2.471659E-04    -6.434236E-11
7.708333E-04    -1.013958E-04   -7.203198E-10
7.916667E-04    6.046545E-05    6.678547E-12
8.125000E-04    -1.229713E-04   4.832270E-10
8.333334E-04    1.435421E-05    1.135049E-09
8.541666E-04    8.593584E-05    -1.418812E-09
8.750000E-04    -1.393350E-04   -1.793524E-09
8.958333E-04    9.303173E-05    8.312782E-10
9.166666E-04    -1.383710E-04   1.063431E-09
9.375000E-04    1.675391E-04    -7.087817E-10
9.583333E-04    -1.167608E-04   -6.293168E-10
9.791667E-04    -8.311437E-05   9.882819E-10
9.999999E-04    1.744809E-04    -6.487015E-10
1.020833E-03    -2.421737E-04   -3.226389E-10
1.041667E-03    2.774801E-04    -1.030047E-10
1.062500E-03    -3.074622E-04   1.140257E-10
1.083333E-03    1.554514E-04    5.613900E-10
1.104167E-03    -3.337025E-05   4.843499E-11
1.125000E-03    -1.183265E-04   8.235830E-10
1.145833E-03    1.333183E-04    2.131079E-11
1.166667E-03    -1.750666E-04   8.016037E-10
